Player_Name,Points
Precious Achiuwa,17.458333333333332
Steven Adams,9.535714285714286
Bam Adebayo,37.390243902439025
Ochai Agbaji,23.128205128205124
Santi Aldama,29.7027027027027
Trey Alexander,1.8571428571428568
Nickeil Alexander-Walker,17.697674418604652
Grayson Allen,21.909090909090907
Jarrett Allen,35.61904761904762
Jose Alvarado,24.761904761904763
Kyle Anderson,17.15151515151515
Giannis Antetokounmpo,57.028571428571425
Cole Anthony,16.0
OG Anunoby,31.66666666666666
Deni Avdija,28.875
Deandre Ayton,31.78125
Marvin Bagley III,9.894736842105262
Patrick Baldwin Jr.,4.105263157894737
LaMelo Ball,48.53571428571428
Lonzo Ball,23.391304347826086
Mo Bamba,13.520000000000001
Paolo Banchero,39.45454545454545
Desmond Bane,37.23529411764706
Dalano Banton,17.38235294117647
Dominick Barlow,1.8571428571428565
Harrison Barnes,19.682926829268293
Scottie Barnes,43.233333333333334
RJ Barrett,37.857142857142854
Charles Bassey,14.137931034482758
Emoni Bates,-2.0
Jamison Battle,10.235294117647058
Nicolas Batum,12.404761904761905
Bradley Beal,31.5
Malik Beasley,25.348837209302324
MarJon Beauchamp,2.6
Reece Beekman,5.0
Goga Bitadze,30.805555555555557
Anthony Black,19.463414634146343
Bogdan Bogdanović,17.714285714285715
Bol Bol,5.4
Adem Bona,7.615384615384615
Devin Booker,43.32432432432433
Brandon Boston Jr.,21.28205128205128
Chris Boucher,20.052631578947366
Malaki Branham,7.615384615384615
Christian Braun,28.585365853658537
Jalen Bridges,-1.0
Mikal Bridges,31.866666666666667
Miles Bridges,34.0
Malcolm Brogdon,24.833333333333332
Dillon Brooks,22.205128205128204
Bruce Brown,15.5
Jaylen Brown,38.27777777777778
Kobe Brown,8.0
Moses Brown,5.111111111111112
Jalen Brunson,42.9090909090909
Thomas Bryant,11.9
Kobe Bufkin,10.0
Alec Burks,12.08
Jared Butler,13.774193548387096
Jimmy Butler,35.480000000000004
Matas Buzelis,11.190476190476192
Jamal Cain,10.647058823529413
Kentavious Caldwell-Pope,22.27906976744186
Toumani Camara,23.658536585365855
Clint Capela,25.357142857142858
Branden Carlson,7.769230769230768
Carlton Carrington,21.70731707317073
Devin Carter,11.714285714285714
Jevon Carter,6.2631578947368425
Wendell Carter Jr.,22.875
D.J. Carton,2.0
Alex Caruso,20.708333333333332
Stephon Castle,19.849999999999998
Colin Castleton,2.2
Julian Champagnie,21.804878048780488
Justin Champagnie,22.869565217391305
Ulrich Chomche,1.8333333333333333
Cam Christie,4.333333333333334
Max Christie,17.205128205128204
Josh Christopher,1.4999999999999996
Sidy Cissoko,2.7142857142857144
