Player_Name,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,1630173,2024-25,0,1610612752,NYK,25.0,23,1,18.782608695652176,2.217391304347826,4.304347826086956,0.515,0.21739130434782608,0.6086956521739131,0.357,0.5652173913043478,1.0869565217391304,0.52,1.826086956521739,3.739130434782609,5.565217391304348,1.0434782608695652,0.7391304347826086,0.782608695652174,0.782608695652174,1.434782608695652,5.217391304347826
Steven Adams,203500,2024-25,0,1610612745,HOU,31.0,28,0,10.892857142857142,1.1071428571428572,1.8571428571428568,0.596,0.0,0.0,0.0,0.5357142857142857,1.4285714285714286,0.375,2.321428571428572,2.357142857142857,4.678571428571429,1.0714285714285714,0.25,0.3571428571428571,0.9642857142857144,0.9642857142857144,2.75
Bam Adebayo,1628389,2024-25,0,1610612748,MIA,27.0,40,40,33.775,6.05,13.325,0.454,0.7,2.525,0.277,2.9,4.025,0.72,2.35,7.35,9.7,4.6,1.475,0.8,2.1,2.075,15.7
Ochai Agbaji,1630534,2024-25,0,1610612761,TOR,24.0,39,33,28.897435897435894,4.282051282051282,8.435897435897436,0.508,1.5897435897435896,3.948717948717949,0.403,0.4871794871794871,0.717948717948718,0.679,0.9230769230769232,2.8461538461538463,3.769230769230769,1.7179487179487178,0.7948717948717948,0.5384615384615384,0.7692307692307693,2.128205128205128,10.64102564102564
James Akinjo,1630583,2024-25,0,1610612763,MEM,24.0,37,11,25.0,5.081081081081081,10.18918918918919,0.499,1.7567567567567568,4.675675675675675,0.376,1.108108108108108,1.5675675675675675,0.707,1.5675675675675675,5.405405405405405,6.972972972972973,2.702702702702702,0.8648648648648649,0.4594594594594595,1.135135135135135,0.972972972972973,13.027027027027026
Santi Aldama,1641725,2024-25,0,1610612743,DEN,21.0,14,0,4.428571428571429,0.2857142857142857,1.2857142857142858,0.222,0.14285714285714285,0.6428571428571429,0.222,0.1428571428571428,0.1428571428571428,1.0,0.0,0.2857142857142857,0.2857142857142857,0.4285714285714285,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.3571428571428571,0.8571428571428571
Trey Alexander,1629638,2024-25,0,1610612750,MIN,26.0,43,2,22.74418604651163,3.0,6.697674418604652,0.448,1.5813953488372092,3.883720930232558,0.407,0.7441860465116279,1.069767441860465,0.696,0.5581395348837209,2.2093023255813957,2.7674418604651163,2.3488372093023258,0.6511627906976745,0.3023255813953488,1.2325581395348837,1.6511627906976745,8.325581395348838
Nickeil Alexander-Walker,1628960,2024-25,0,1610612756,PHX,29.0,33,1,24.303030303030305,3.484848484848485,7.696969696969697,0.453,2.4242424242424243,5.636363636363637,0.43,1.6666666666666667,1.9696969696969695,0.846,0.5454545454545454,2.606060606060606,3.1515151515151514,1.818181818181818,0.9393939393939394,0.2727272727272727,1.0909090909090908,1.4545454545454546,11.06060606060606
Grayson Allen,1628386,2024-25,0,1610612739,CLE,26.0,42,42,28.761904761904763,5.738095238095238,8.071428571428571,0.711,0.0,0.023809523809523808,0.0,2.571428571428572,3.4761904761904763,0.74,2.595238095238096,7.380952380952381,9.976190476190476,1.9047619047619049,0.9285714285714286,0.9047619047619048,1.0238095238095235,1.3571428571428572,14.047619047619047
Jarrett Allen,1630631,2024-25,0,1610612740,NOP,26.0,21,7,21.904761904761905,3.2857142857142856,8.333333333333334,0.394,2.238095238095238,5.476190476190476,0.409,1.0,1.238095238095238,0.808,0.5238095238095238,1.5238095238095235,2.0476190476190474,4.0,1.4761904761904765,0.238095238095238,1.0952380952380951,2.095238095238096,9.80952380952381
Jose Alvarado,203937,2024-25,0,1610612744,GSW,31.0,33,3,15.242424242424242,2.121212121212121,4.787878787878788,0.443,0.5757575757575758,1.5454545454545454,0.373,0.5454545454545454,0.8181818181818182,0.667,0.7575757575757576,2.363636363636364,3.121212121212121,2.333333333333333,0.7878787878787878,0.5454545454545454,0.5454545454545454,1.121212121212121,5.363636363636363
Kyle Anderson,203507,2024-25,0,1610612749,MIL,30.0,35,35,34.885714285714286,12.542857142857144,20.742857142857144,0.605,0.11428571428571428,0.7428571428571429,0.154,6.285714285714286,10.714285714285714,0.587,2.2,9.771428571428572,11.971428571428572,6.0285714285714285,0.7714285714285715,1.3714285714285714,3.5428571428571427,2.3714285714285714,31.485714285714284
Giannis Antetokounmpo,1630175,2024-25,0,1610612753,ORL,24.0,41,8,16.24390243902439,3.1219512195121952,7.7073170731707314,0.405,0.9024390243902439,2.975609756097561,0.303,1.2682926829268293,1.6585365853658536,0.765,0.6097560975609756,2.2195121951219514,2.8292682926829267,2.707317073170732,0.5853658536585366,0.2682926829268293,1.5609756097560976,1.975609756097561,8.414634146341463
Cole Anthony,1628384,2024-25,0,1610612752,NYK,27.0,44,44,36.72727272727273,5.977272727272728,12.659090909090908,0.472,1.9772727272727273,5.75,0.344,1.9318181818181817,2.409090909090909,0.802,1.2727272727272727,3.590909090909091,4.863636363636363,1.9545454545454544,1.318181818181818,0.8636363636363636,1.4090909090909092,2.386363636363636,15.863636363636363
OG Anunoby,1630166,2024-25,0,1610612757,POR,24.0,39,21,28.205128205128204,4.82051282051282,10.435897435897436,0.462,1.4871794871794872,4.205128205128205,0.354,3.0,3.8205128205128207,0.785,1.3076923076923077,5.153846153846154,6.461538461538462,3.2564102564102564,1.0256410256410255,0.6153846153846154,2.435897435897436,2.1794871794871797,14.128205128205128
Adonis Arms,1629028,2024-25,0,1610612757,POR,26.0,31,31,29.83870967741936,6.354838709677419,11.35483870967742,0.56,0.1935483870967742,0.9354838709677419,0.207,0.6451612903225806,1.064516129032258,0.606,2.870967741935484,7.161290322580645,10.03225806451613,1.4516129032258065,0.7419354838709677,1.0,1.7096774193548387,2.161290322580645,13.548387096774194
Mark Armstrong,1628963,2024-25,0,1610612764,WAS,25.0,19,1,8.789473684210526,2.0,3.736842105263158,0.535,0.10526315789473684,0.5263157894736842,0.2,0.7894736842105263,1.2105263157894737,0.652,1.4210526315789471,1.5263157894736843,2.9473684210526314,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.5789473684210527,0.631578947368421,4.894736842105263
