Player,PosPLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FPPG,Predicted_FPPG,Predicted_FPPG_model2,Predicted_GP,Predicted_GP_model2,7_fppg,30_fppg
Jerami Grant,,2024-25,0,1610612757,POR,30.0,45,45,32.53,4.58,12.27,0.37,2.27,6.2,0.37,2.98,3.53,0.84,0.58,2.89,3.47,2.22,0.89,1.02,1.38,2.31,14.4,25.8,26.83,31.5,39.0,41.0,0.0,26.0
Draymond Green,,2024-25,0,1610612744,GSW,35.0,48,46,28.69,3.17,7.4,0.43,1.1,3.38,0.33,1.54,2.29,0.67,1.12,5.0,6.12,5.75,1.31,1.02,2.38,3.06,8.98,30.48,28.65,22.1,33.0,46.0,34.5,36.85
Jalen Green,,2024-25,0,1610612745,HOU,23.0,62,62,33.24,7.58,17.73,0.43,2.94,8.23,0.36,3.31,4.0,0.83,0.55,3.84,4.39,3.11,0.84,0.29,2.6,1.66,21.4,31.02,33.86,33.91,43.0,73.0,25.0,30.92
Javonte Green,,2024-25,0,1610612740,NOP,31.0,50,18,21.84,2.0,4.48,0.45,0.76,2.16,0.35,1.0,1.32,0.76,0.98,2.58,3.56,0.9,1.1,0.6,0.56,1.54,5.76,16.76,16.28,34.89,30.0,41.0,22.0,14.57
Jeff Green,,2024-25,0,1610612745,HOU,38.0,20,2,12.85,2.1,4.1,0.51,0.8,2.45,0.33,0.75,0.9,0.83,0.4,1.3,1.7,0.45,0.2,0.1,0.25,0.95,5.75,9.8,9.31,11.75,28.0,76.0,10.0,16.33
Josh Green,,2024-25,0,1610612766,CHA,24.0,55,54,28.58,2.69,6.22,0.43,1.45,3.64,0.4,0.73,1.09,0.67,0.87,1.78,2.65,1.53,1.13,0.24,0.95,2.55,7.56,17.09,17.78,18.2,42.0,54.0,18.33,15.91
Quentin Grimes,,2024-25,0,1610612742,DAL,24.0,47,12,22.77,3.6,7.77,0.46,1.7,4.28,0.4,1.32,1.72,0.76,0.64,3.17,3.81,2.15,0.68,0.21,1.3,1.66,10.21,20.02,19.54,12.25,41.0,70.0,53.0,35.27
Rui Hachimura,,2024-25,0,1610612747,LAL,27.0,50,50,32.1,5.06,10.0,0.51,1.68,4.1,0.41,1.5,1.96,0.76,1.46,3.76,5.22,1.5,0.8,0.48,0.88,1.82,13.3,26.22,25.18,22.25,41.0,64.0,11.0,28.4
Tyrese Haliburton,,2024-25,0,1610612754,IND,25.0,59,59,34.02,6.47,13.85,0.47,3.05,7.83,0.39,2.53,2.93,0.86,0.56,2.92,3.47,8.92,1.46,0.63,1.73,1.32,18.53,46.46,41.25,47.3,45.0,66.0,62.33,55.17
Tim Hardaway Jr.,,2024-25,0,1610612765,DET,32.0,58,58,28.16,3.45,8.52,0.4,2.1,5.78,0.36,1.53,1.83,0.84,0.24,2.09,2.33,1.67,0.48,0.09,0.71,1.24,10.53,17.26,16.95,21.71,34.0,73.0,17.75,18.31
James Harden,,2024-25,0,1610612746,LAC,35.0,58,58,34.71,6.29,16.24,0.39,2.86,8.52,0.34,6.12,6.97,0.88,0.67,5.14,5.81,8.62,1.53,0.62,4.52,2.1,21.57,42.57,43.79,43.67,33.0,61.0,46.75,46.08
Gary Harris,,2024-25,0,1610612753,ORL,30.0,31,2,15.48,1.1,3.0,0.37,0.74,2.29,0.32,0.19,0.32,0.6,0.48,0.74,1.23,0.52,0.58,0.26,0.39,0.94,3.13,7.77,7.8,15.21,29.0,37.0,0.0,5.12
Tobias Harris,,2024-25,0,1610612765,DET,32.0,59,59,31.98,5.31,11.22,0.47,1.25,3.71,0.34,1.95,2.22,0.88,0.92,5.0,5.92,2.25,0.92,0.78,1.14,1.86,13.81,29.12,28.2,35.48,46.0,51.0,28.0,32.36
Josh Hart,,2024-25,0,1610612752,NYK,29.0,58,58,37.69,5.53,10.09,0.55,1.03,3.16,0.33,2.29,2.84,0.81,2.14,7.48,9.62,5.66,1.45,0.38,2.05,2.6,14.4,40.0,33.26,30.54,47.0,70.0,21.67,33.33
Isaiah Hartenstein,,2024-25,0,1610612760,OKC,26.0,41,39,28.24,4.76,8.32,0.57,0.0,0.34,0.0,1.39,2.12,0.66,3.05,8.2,11.24,4.07,0.76,1.07,1.78,2.98,10.9,34.51,30.86,27.99,33.0,-15.0,39.5,30.57
Sam Hauser,,2024-25,0,1610612738,BOS,27.0,52,11,20.44,2.67,6.0,0.45,2.08,5.12,0.41,0.08,0.08,1.0,0.65,2.38,3.04,0.96,0.6,0.19,0.37,1.17,7.5,16.31,14.92,19.18,40.0,56.0,14.0,14.17
Jaxson Hayes,,2024-25,0,1610612747,LAL,24.0,39,18,18.79,2.62,3.64,0.72,0.0,0.05,0.0,1.15,1.59,0.73,1.41,3.13,4.54,1.0,0.56,1.0,0.74,2.23,6.38,18.85,17.72,11.38,32.0,27.0,22.75,25.08
Tyler Herro,,2024-25,0,1610612748,MIA,25.0,58,58,35.59,8.29,18.09,0.46,3.59,9.67,0.37,3.74,4.33,0.86,0.38,4.98,5.36,5.72,0.81,0.16,2.62,1.29,23.91,40.84,39.86,31.29,36.0,52.0,39.67,40.83
Buddy Hield,,2024-25,0,1610612744,GSW,32.0,62,22,23.35,4.21,10.11,0.42,2.55,6.95,0.37,0.63,0.77,0.81,0.58,2.71,3.29,1.65,0.87,0.31,1.19,1.73,11.6,21.21,20.92,23.61,42.0,117.0,21.5,23.23
Haywood Highsmith,,2024-25,0,1610612748,MIA,28.0,53,39,24.19,2.43,5.09,0.48,1.25,3.04,0.41,0.43,0.6,0.72,0.85,2.28,3.13,1.32,0.91,0.62,0.7,2.11,6.55,17.89,16.91,14.29,36.0,33.0,22.5,19.67
Aaron Holiday,,2024-25,0,1610612745,HOU,28.0,46,3,12.41,1.67,3.96,0.42,0.93,2.54,0.37,0.57,0.65,0.87,0.22,1.0,1.22,1.22,0.37,0.13,0.59,1.07,4.85,9.57,9.29,11.18,38.0,83.0,9.0,11.82
Jrue Holiday,,2024-25,0,1610612738,BOS,34.0,47,47,30.06,3.98,9.09,0.44,1.72,5.04,0.34,1.15,1.28,0.9,1.06,3.19,4.26,3.66,0.98,0.43,1.36,1.6,10.83,25.77,24.33,34.94,40.0,51.0,0.0,19.0
Richaun Holmes,,2024-25,0,1610612764,WAS,31.0,23,7,17.83,2.87,4.13,0.7,0.0,0.13,0.0,1.7,2.04,0.83,1.7,3.87,5.57,1.39,0.17,0.78,0.78,1.61,7.43,19.3,17.79,14.14,18.0,89.0,27.0,27.91
Al Horford,,2024-25,0,1610612738,BOS,38.0,48,32,26.94,2.96,7.15,0.41,1.77,4.92,0.36,0.42,0.46,0.91,1.17,4.46,5.62,1.81,0.6,0.83,0.71,1.42,8.1,22.19,21.33,26.03,39.0,57.0,29.0,24.36
Talen Horton-Tucker,,2024-25,0,1610612741,CHI,24.0,44,0,11.86,2.2,4.91,0.45,0.77,2.09,0.37,0.86,1.2,0.72,0.34,1.45,1.8,1.39,0.36,0.23,0.68,1.07,6.05,11.55,11.25,21.67,36.0,40.0,29.5,14.5
Kevin Huerter,,2024-25,0,1610612758,SAC,26.0,43,15,20.91,2.98,7.21,0.41,1.44,4.77,0.3,0.47,0.65,0.71,0.44,2.35,2.79,1.72,0.84,0.37,0.86,1.63,7.86,17.21,17.24,22.74,43.0,50.0,30.0,20.75
Jay Huff,,2024-25,0,1610612763,MEM,27.0,48,1,12.06,2.5,4.79,0.52,1.33,3.19,0.42,0.77,1.0,0.77,0.48,1.56,2.04,0.62,0.23,0.88,0.58,1.29,7.1,14.96,14.19,5.77,30.0,66.0,2.0,2.33
De'Andre Hunter,,2024-25,0,1610612737,ATL,27.0,37,4,28.76,6.14,13.3,0.46,2.62,6.68,0.39,4.08,4.76,0.86,0.73,3.19,3.92,1.54,0.84,0.14,1.59,2.38,18.97,27.59,27.69,23.92,32.0,51.0,28.0,26.91
Bones Hyland,,2024-25,0,1610612746,LAC,24.0,20,0,11.1,2.25,5.75,0.39,1.55,4.0,0.39,1.15,1.3,0.88,0.25,0.95,1.2,1.4,0.9,0.2,1.2,1.3,7.2,13.35,13.01,15.04,29.0,40.0,0.0,19.0
Joe Ingles,,2024-25,0,1610612750,MIN,37.0,17,0,6.35,0.35,1.18,0.3,0.18,0.76,0.23,0.0,0.0,0.0,0.12,0.53,0.65,1.29,0.12,0.0,0.47,0.59,0.88,3.35,3.09,9.63,22.0,49.0,0.0,4.4
Brandon Ingram,,2024-25,0,1610612740,NOP,27.0,18,18,33.06,8.61,18.5,0.46,2.39,6.39,0.37,2.61,3.06,0.86,0.94,4.61,5.56,5.17,0.89,0.61,3.83,2.5,22.22,37.11,37.97,37.54,24.0,59.0,0.0,0.0
Kyrie Irving,,2024-25,0,1610612742,DAL,32.0,50,50,36.08,8.94,18.9,0.47,2.88,7.18,0.4,3.92,4.28,0.92,1.2,3.6,4.8,4.62,1.32,0.46,2.22,2.02,24.68,42.9,41.48,47.65,36.0,63.0,34.33,46.0
Jonathan Isaac,,2024-25,0,1610612753,ORL,27.0,55,0,16.27,2.02,4.96,0.41,0.64,2.44,0.26,1.0,1.47,0.68,1.78,3.04,4.82,0.51,0.8,1.15,0.42,1.36,5.67,17.69,17.28,18.71,40.0,41.0,14.67,13.8
Isaiah Jackson,,2024-25,0,1610612754,IND,23.0,5,1,16.8,2.8,4.6,0.61,0.0,0.0,0.0,1.4,2.8,0.5,2.2,3.4,5.6,1.0,0.6,1.6,1.0,2.8,7.0,21.0,19.67,17.51,16.0,-25.0,0.0,0.0
Reggie Jackson,,2024-25,0,1610612755,PHI,34.0,31,1,12.39,1.68,4.29,0.39,0.81,2.39,0.34,0.23,0.29,0.78,0.26,1.1,1.35,1.45,0.52,0.1,0.55,1.1,4.39,9.81,9.7,19.44,31.0,62.0,0.0,15.0
Jaren Jackson Jr.,,2024-25,0,1610612763,MEM,25.0,59,59,29.36,8.19,16.46,0.5,1.88,5.15,0.36,4.47,5.8,0.77,1.32,4.53,5.85,2.14,1.25,1.64,2.15,3.37,22.73,40.61,38.82,42.15,43.0,56.0,33.33,36.09
LeBron James,,2024-25,0,1610612747,LAL,40.0,56,56,34.73,9.52,18.34,0.52,2.32,5.89,0.39,3.59,4.62,0.78,1.0,7.04,8.04,8.54,0.93,0.61,4.0,1.41,24.95,50.18,49.94,50.39,43.0,58.0,52.0,54.5
DaQuan Jeffries,,2024-25,0,1610612766,CHA,27.0,25,2,18.64,1.76,4.76,0.37,0.72,2.72,0.26,0.44,0.52,0.85,0.88,2.04,2.92,1.04,0.56,0.4,0.64,1.96,4.68,11.64,11.71,1.27,17.0,16.0,6.25,9.1
Ty Jerome,,2024-25,0,1610612739,CLE,27.0,57,2,19.56,4.33,8.47,0.51,1.56,3.54,0.44,1.84,2.05,0.9,0.75,1.81,2.56,3.37,1.25,0.02,1.26,1.51,12.07,25.44,22.75,5.19,39.0,30.0,30.0,27.75
Isaiah Joe,,2024-25,0,1610612760,OKC,25.0,54,11,20.65,3.3,7.63,0.43,2.41,6.02,0.4,0.43,0.59,0.72,0.52,1.98,2.5,1.37,0.69,0.15,0.43,1.65,9.43,18.35,16.88,16.45,42.0,20.0,14.0,16.18
Cameron Johnson,,2024-25,0,1610612751,BKN,29.0,46,46,31.7,6.2,13.11,0.47,2.96,7.43,0.4,3.46,3.85,0.9,0.85,3.22,4.07,2.96,0.87,0.46,1.67,1.78,18.8,32.59,30.37,27.38,37.0,38.0,20.0,29.18
Jalen Johnson,,2024-25,0,1610612737,ATL,23.0,36,36,35.67,7.53,15.06,0.5,1.22,3.92,0.31,2.61,3.5,0.75,1.72,8.25,9.97,5.03,1.56,1.0,2.94,1.86,18.89,43.58,41.62,36.84,32.0,51.0,0.0,0.0
James Johnson,,2024-25,0,1610612754,IND,38.0,11,0,3.0,0.36,0.82,0.44,0.0,0.27,0.0,0.0,0.09,0.0,0.0,0.45,0.45,0.36,0.0,0.18,0.36,0.36,0.73,1.73,1.51,2.55,15.0,7.0,0.0,1.0
Keldon Johnson,,2024-25,0,1610612759,SAS,25.0,57,0,23.6,4.58,9.61,0.48,1.12,3.51,0.32,1.91,2.53,0.76,1.37,3.18,4.54,1.51,0.58,0.21,0.93,1.56,12.19,21.11,21.01,27.83,37.0,47.0,23.33,20.62
Keon Johnson,,2024-25,0,1610612751,BKN,22.0,59,37,23.75,3.64,9.85,0.37,1.46,5.05,0.29,1.31,1.63,0.8,0.86,2.83,3.69,1.97,1.05,0.39,1.31,2.53,10.05,19.41,20.44,9.44,37.0,22.0,15.33,27.58
Nikola Jokić,,2024-25,0,1610612743,DEN,30.0,55,55,36.07,11.02,19.07,0.58,1.96,4.44,0.44,4.95,6.02,0.82,2.89,9.85,12.75,10.44,1.78,0.65,3.25,2.16,28.95,69.65,58.84,61.78,39.0,57.0,0.0,0.0
Herbert Jones,,2024-25,0,1610612740,NOP,26.0,20,20,32.4,3.75,8.6,0.44,1.1,3.6,0.31,1.65,2.0,0.82,1.1,2.8,3.9,3.25,1.85,0.45,1.75,3.3,10.25,26.0,25.06,28.32,28.0,42.0,0.0,0.0
Mason Jones,,2024-25,0,1610612758,SAC,26.0,7,0,5.0,1.29,2.29,0.56,0.14,0.86,0.17,0.29,0.43,0.67,0.29,0.86,1.14,1.43,0.0,0.0,0.14,0.43,3.0,7.0,5.73,4.68,12.0,5.0,0.0,7.67
Tre Jones,,2024-25,0,1610612759,SAS,25.0,28,0,16.07,1.61,3.32,0.48,0.29,0.93,0.31,0.89,1.18,0.76,0.54,1.54,2.07,3.71,0.64,0.18,0.75,1.18,4.39,15.57,12.78,29.87,30.0,60.0,25.0,20.5
Tyus Jones,,2024-25,0,1610612756,PHX,28.0,61,56,28.64,3.84,8.61,0.45,2.0,4.92,0.41,0.75,0.85,0.88,0.51,1.93,2.44,5.82,0.89,0.11,1.36,0.9,10.43,26.75,26.13,33.12,47.0,45.0,29.0,22.62
Derrick Jones Jr.,,2024-25,0,1610612746,LAC,28.0,57,51,24.91,4.16,8.05,0.52,1.0,2.81,0.36,1.04,1.39,0.75,1.3,2.23,3.53,0.84,1.16,0.35,0.93,2.07,10.35,20.65,20.79,18.5,34.0,55.0,15.0,17.1
DeAndre Jordan,,2024-25,0,1610612743,DEN,36.0,46,2,11.48,1.5,2.3,0.65,0.0,0.0,0.0,0.33,0.8,0.4,1.39,3.26,4.65,0.78,0.26,0.43,0.72,1.22,3.33,11.11,10.18,10.78,37.0,31.0,5.67,10.0
Cory Joseph,,2024-25,0,1610612753,ORL,33.0,34,1,7.94,0.76,2.06,0.37,0.53,1.47,0.36,0.12,0.18,0.67,0.18,0.59,0.76,0.85,0.35,0.09,0.35,0.62,2.18,5.65,5.02,9.11,29.0,32.0,15.5,6.8
Luke Kennard,,2024-25,0,1610612763,MEM,28.0,48,8,22.35,3.31,6.9,0.48,1.96,4.29,0.46,0.94,1.06,0.88,0.65,2.21,2.85,3.46,0.71,0.06,1.04,0.88,9.52,21.85,19.85,22.09,37.0,59.0,24.0,19.25
Corey Kispert,,2024-25,0,1610612764,WAS,26.0,55,0,26.55,4.29,9.44,0.46,2.04,5.47,0.37,1.13,1.31,0.86,0.62,2.4,3.02,1.65,0.47,0.22,1.13,1.65,11.75,19.58,19.87,25.21,42.0,60.0,16.67,19.5
Maxi Kleber,,2024-25,0,1610612742,DAL,33.0,34,4,18.74,1.09,2.82,0.38,0.38,1.44,0.26,0.47,0.62,0.76,0.74,2.06,2.79,1.26,0.26,0.5,0.68,1.94,3.03,9.65,9.89,12.62,31.0,43.0,0.0,0.0
John Konchar,,2024-25,0,1610612763,MEM,28.0,32,4,12.81,0.94,2.25,0.42,0.5,1.56,0.32,0.16,0.19,0.83,0.84,2.56,3.41,0.97,0.5,0.38,0.41,0.78,2.53,10.66,9.85,17.3,30.0,26.0,9.0,4.17
Luke Kornet,,2024-25,0,1610612738,BOS,29.0,53,8,17.47,2.11,3.21,0.66,0.0,0.02,0.0,0.94,1.26,0.75,2.32,2.62,4.94,1.62,0.53,0.96,0.42,1.55,5.17,19.19,16.83,16.74,37.0,44.0,15.67,21.3
Jonathan Kuminga,,2024-25,0,1610612744,GSW,22.0,32,10,26.0,6.06,13.22,0.46,1.25,3.62,0.34,3.38,5.28,0.64,1.38,3.59,4.97,2.19,0.91,0.56,1.56,1.91,16.75,27.09,27.28,26.12,38.0,51.0,0.0,0.0
Kyle Kuzma,,2024-25,0,1610612764,WAS,29.0,32,30,27.72,5.97,14.22,0.42,1.41,5.0,0.28,1.84,3.06,0.6,0.84,4.94,5.78,2.47,0.62,0.22,2.28,1.62,15.19,22.62,26.06,33.47,30.0,57.0,27.5,24.42
Zach LaVine,,2024-25,0,1610612741,CHI,29.0,42,42,34.1,8.64,16.9,0.51,3.24,7.26,0.45,3.45,4.33,0.8,0.29,4.52,4.81,4.5,0.93,0.24,2.88,1.52,23.98,39.43,37.73,31.65,38.0,53.0,36.67,36.0
Jock Landale,,2024-25,0,1610612745,HOU,29.0,31,1,10.87,1.58,3.42,0.46,0.19,0.52,0.38,0.74,1.1,0.68,1.29,1.87,3.16,0.84,0.19,0.29,0.48,1.0,4.1,9.48,9.24,13.47,30.0,6.0,7.0,13.29
Caris LeVert,,2024-25,0,1610612739,CLE,30.0,38,3,23.79,3.55,7.84,0.45,1.58,3.89,0.4,1.53,2.18,0.7,0.58,2.24,2.82,3.68,0.87,0.5,1.34,1.26,10.21,23.37,21.6,28.74,35.0,51.0,45.33,26.08
Damion Lee,,2024-25,0,1610612756,PHX,32.0,16,0,6.31,1.06,3.25,0.33,0.31,1.62,0.19,1.0,1.06,0.94,0.12,0.75,0.88,0.5,0.25,0.0,0.44,0.31,3.44,4.56,5.44,14.62,38.0,22.0,-2.0,3.5
Alex Len,,2024-25,0,1610612758,SAC,31.0,36,3,7.17,0.61,1.14,0.54,0.03,0.17,0.17,0.19,0.36,0.54,0.69,1.08,1.78,0.83,0.22,0.5,0.31,0.97,1.44,7.11,6.12,10.08,35.0,40.0,0.0,4.0
Kawhi Leonard,,2024-25,0,1610612746,LAC,33.0,20,20,28.45,7.15,15.35,0.47,1.85,4.9,0.38,1.95,2.5,0.78,0.95,4.0,4.95,2.7,1.2,0.45,2.15,1.4,18.1,31.0,31.54,46.27,21.0,62.0,36.33,35.11
Damian Lillard,,2024-25,0,1610612749,MIL,34.0,50,50,36.4,7.8,17.4,0.45,3.46,9.2,0.38,6.3,6.84,0.92,0.54,4.14,4.68,7.24,1.22,0.18,2.92,1.7,25.36,45.4,44.73,42.6,40.0,55.0,48.25,47.91
Kevon Looney,,2024-25,0,1610612744,GSW,29.0,56,6,15.79,2.09,4.11,0.51,0.0,0.04,0.0,0.75,1.36,0.55,2.77,3.88,6.64,1.73,0.68,0.46,0.59,2.2,4.93,17.89,16.41,16.03,42.0,51.0,15.0,15.08
Brook Lopez,,2024-25,0,1610612749,MIL,36.0,59,59,31.88,4.71,9.86,0.48,1.83,5.07,0.36,1.41,1.68,0.84,1.34,3.69,5.03,1.8,0.68,1.95,0.97,2.17,12.66,30.98,30.1,34.42,39.0,67.0,29.5,32.54
Kevin Love,,2024-25,0,1610612748,MIA,36.0,20,7,10.95,1.8,5.15,0.35,1.05,3.0,0.35,0.65,0.95,0.68,0.9,3.4,4.3,1.0,0.7,0.1,0.65,0.85,5.3,12.7,13.39,16.35,22.0,48.0,18.5,13.0
Kyle Lowry,,2024-25,0,1610612755,PHI,38.0,33,12,18.88,1.18,3.36,0.35,0.85,2.52,0.34,0.82,1.0,0.82,0.33,1.64,1.97,2.82,0.94,0.3,0.61,1.85,4.03,15.06,13.75,23.83,29.0,85.0,0.0,8.33
Trey Lyles,,2024-25,0,1610612758,SAC,29.0,49,2,18.39,2.14,5.24,0.41,1.2,3.47,0.35,0.71,1.0,0.71,1.06,3.41,4.47,1.06,0.57,0.41,0.53,1.18,6.2,15.61,14.66,17.32,39.0,57.0,21.67,12.36
Sandro Mamukelashvili,,2024-25,0,1610612759,SAS,25.0,39,0,8.49,1.64,3.23,0.51,0.74,1.97,0.38,0.59,0.79,0.74,0.59,1.72,2.31,0.49,0.33,0.26,0.36,0.77,4.62,10.13,8.85,11.96,30.0,51.0,3.5,9.88
Terance Mann,,2024-25,0,1610612746,LAC,28.0,37,12,19.78,2.35,5.27,0.45,0.7,2.03,0.35,0.62,0.86,0.72,0.86,2.03,2.89,1.59,0.76,0.3,0.68,1.84,6.03,14.86,14.14,19.26,36.0,0.0,25.67,17.73
Tre Mann,,2024-25,0,1610612766,CHA,24.0,13,0,24.54,5.38,12.38,0.44,1.85,4.62,0.4,1.46,1.62,0.9,0.92,2.0,2.92,3.0,0.54,0.31,1.92,1.85,14.08,22.62,24.17,22.88,41.0,67.0,0.0,0.0
Lauri Markkanen,,2024-25,0,1610612762,UTA,27.0,43,43,32.07,6.37,14.98,0.42,2.93,8.44,0.35,3.63,4.16,0.87,1.65,4.49,6.14,1.56,0.77,0.37,1.37,1.77,19.3,30.53,31.02,37.37,36.0,25.0,0.0,29.0
Naji Marshall,,2024-25,0,1610612742,DAL,27.0,49,15,25.1,4.35,8.8,0.49,0.86,3.04,0.28,1.55,1.82,0.85,0.98,3.16,4.14,2.69,1.02,0.14,1.43,1.53,11.1,22.92,22.43,15.75,37.0,23.0,28.25,28.62
Caleb Martin,,2024-25,0,1610612755,PHI,29.0,31,24,30.42,3.26,7.48,0.44,1.06,2.81,0.38,1.48,2.39,0.62,1.39,3.0,4.39,2.23,1.1,0.65,1.39,2.03,9.06,21.29,21.52,21.16,32.0,19.0,0.0,0.0
Cody Martin,,2024-25,0,1610612766,CHA,29.0,39,8,24.79,2.97,6.87,0.43,1.03,3.18,0.32,0.87,1.26,0.69,1.03,3.49,4.51,2.28,1.1,0.67,1.08,1.85,7.85,21.56,20.61,21.23,39.0,41.0,0.0,0.0
Garrison Mathews,,2024-25,0,1610612737,ATL,28.0,44,2,17.64,2.18,5.5,0.4,1.82,4.66,0.39,1.43,1.75,0.82,0.3,1.55,1.84,1.3,0.59,0.3,0.66,1.75,7.61,14.64,13.03,10.62,38.0,31.0,27.0,9.0
Tyrese Maxey,,2024-25,0,1610612755,PHI,24.0,52,52,37.69,9.17,20.98,0.44,3.1,9.19,0.34,4.88,5.56,0.88,0.29,3.06,3.35,6.1,1.75,0.4,2.38,2.23,26.33,45.5,45.53,50.95,47.0,58.0,18.5,38.0
Miles McBride,,2024-25,0,1610612752,NYK,24.0,51,1,23.76,3.31,7.86,0.42,1.69,4.53,0.37,0.88,1.04,0.85,0.76,1.69,2.45,2.57,0.9,0.24,0.63,1.45,9.2,20.37,19.22,15.7,39.0,53.0,26.0,21.18
CJ McCollum,,2024-25,0,1610612740,NOP,33.0,47,47,33.06,8.13,18.04,0.45,3.06,8.21,0.37,2.36,3.23,0.73,0.72,3.02,3.74,3.94,0.72,0.51,1.81,2.3,21.68,35.02,34.94,36.91,36.0,48.0,32.67,33.2
T.J. McConnell,,2024-25,0,1610612754,IND,32.0,57,0,18.21,4.32,8.25,0.52,0.21,0.65,0.32,0.82,1.11,0.75,0.53,1.89,2.42,4.54,1.14,0.28,1.51,1.02,9.67,24.16,23.02,25.47,45.0,61.0,19.33,21.6
Jaden McDaniels,,2024-25,0,1610612750,MIN,24.0,63,63,32.48,4.78,10.14,0.47,1.27,3.86,0.33,1.43,1.71,0.83,1.6,4.25,5.86,1.92,1.46,0.87,1.16,2.9,12.25,29.37,27.61,18.37,44.0,34.0,45.6,39.36
Jordan McLaughlin,,2024-25,0,1610612758,SAC,28.0,28,0,6.79,0.57,1.57,0.36,0.36,0.93,0.38,0.39,0.57,0.69,0.14,0.61,0.75,0.86,0.39,0.0,0.39,0.46,1.89,4.89,4.65,7.53,29.0,28.0,8.0,5.4
De'Anthony Melton,,2024-25,0,1610612744,GSW,26.0,6,2,20.17,3.67,9.0,0.41,2.17,5.83,0.37,0.83,1.33,0.62,1.0,2.33,3.33,2.83,1.17,0.33,1.67,3.0,10.33,22.0,21.35,26.48,39.0,-3.0,0.0,0.0
Sam Merrill,,2024-25,0,1610612739,CLE,28.0,52,2,19.23,2.37,5.96,0.4,1.87,5.19,0.36,0.52,0.54,0.96,0.52,1.5,2.02,1.44,0.69,0.19,0.44,1.79,7.12,15.29,14.08,19.87,38.0,33.0,16.5,16.58
Khris Middleton,,2024-25,0,1610612749,MIL,33.0,23,7,23.22,4.7,9.17,0.51,1.52,3.74,0.41,1.7,2.0,0.85,0.22,3.48,3.7,4.43,0.74,0.22,1.61,2.26,12.61,27.22,24.3,30.41,24.0,46.0,38.33,30.17
Patty Mills,,2024-25,0,1610612762,UTA,36.0,17,0,15.29,1.53,4.47,0.34,1.0,3.35,0.3,0.29,0.29,1.0,0.18,1.06,1.24,1.24,0.71,0.18,0.94,0.71,4.35,9.29,10.61,8.3,23.0,52.0,0.0,3.4
Shake Milton,,2024-25,0,1610612751,BKN,28.0,27,1,18.22,2.7,5.81,0.46,1.04,2.67,0.39,0.93,1.22,0.76,0.59,1.3,1.89,2.37,0.56,0.04,0.74,1.59,7.37,15.22,14.12,8.81,42.0,41.0,19.5,9.33
Davion Mitchell,,2024-25,0,1610612761,TOR,26.0,44,22,24.55,2.41,5.55,0.43,0.95,2.66,0.36,0.57,0.84,0.68,0.36,1.57,1.93,4.61,0.7,0.18,1.77,2.64,6.34,17.45,16.41,10.64,42.0,18.0,28.33,25.36
Donovan Mitchell,,2024-25,0,1610612739,CLE,28.0,57,57,31.11,8.49,18.63,0.46,3.56,9.07,0.39,3.79,4.58,0.83,0.74,3.56,4.3,4.79,1.33,0.19,1.98,2.0,24.33,41.47,39.9,50.77,47.0,46.0,48.33,43.0
Evan Mobley,,2024-25,0,1610612739,CLE,23.0,54,54,30.04,7.17,12.65,0.57,1.07,2.93,0.37,3.24,4.3,0.75,2.28,7.0,9.28,3.06,0.83,1.57,1.98,2.09,18.65,41.41,38.06,41.26,38.0,48.0,31.33,43.33
Malik Monk,,2024-25,0,1610612758,SAC,27.0,52,39,32.46,6.52,14.77,0.44,2.19,6.77,0.32,2.4,2.73,0.88,0.42,3.4,3.83,5.9,1.02,0.63,2.33,2.58,17.63,35.37,35.08,30.99,46.0,59.0,31.0,31.73
Moses Moody,,2024-25,0,1610612744,GSW,22.0,54,14,20.43,3.24,7.35,0.44,1.69,4.41,0.38,1.35,1.78,0.76,0.61,1.72,2.33,1.11,0.56,0.41,0.65,1.48,9.52,17.02,15.93,15.21,38.0,57.0,15.5,22.25
Ja Morant,,2024-25,0,1610612763,MEM,25.0,37,37,29.38,7.11,16.41,0.43,1.46,5.08,0.29,5.19,6.22,0.84,0.59,3.49,4.08,7.41,1.22,0.3,3.86,2.11,20.86,36.32,39.85,46.43,27.0,20.0,32.0,32.22
Markieff Morris,,2024-25,0,1610612742,DAL,35.0,7,0,5.86,0.71,3.14,0.23,0.29,1.86,0.15,0.0,0.0,0.0,0.0,1.14,1.14,0.57,0.14,0.14,0.29,0.29,1.71,3.14,3.93,5.27,19.0,27.0,0.0,5.0
Trey Murphy III,,2024-25,0,1610612740,NOP,24.0,46,44,35.63,7.33,16.17,0.45,3.15,8.59,0.37,3.93,4.43,0.89,0.87,4.3,5.17,3.83,1.17,0.72,1.91,2.17,21.74,39.43,37.16,32.96,48.0,34.0,33.0,36.33
Dejounte Murray,,2024-25,0,1610612740,NOP,28.0,31,31,32.65,6.26,15.94,0.39,1.68,5.61,0.3,3.29,4.0,0.82,0.55,5.9,6.45,7.35,2.03,0.39,3.42,1.97,17.48,39.03,40.78,44.46,33.0,90.0,0.0,0.0
