Player,PosPLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FPPG,Predicted_FPPG,Predicted_FPPG_model2,Predicted_GP,Predicted_GP_model2,7_fppg,30_fppg
Scottie Barnes,,2024-25,0,1610612761,TOR,23.0,48,48,34.46,7.48,16.62,0.45,1.27,4.75,0.27,3.52,4.52,0.78,1.58,6.21,7.79,6.12,1.46,1.08,2.92,2.04,19.75,42.73,41.67,56.3,39.0,25.0,40.33,40.83
RJ Barrett,,2024-25,0,1610612761,TOR,24.0,49,49,33.31,8.12,17.06,0.48,1.88,5.27,0.36,3.57,5.51,0.65,0.96,5.47,6.43,5.67,0.82,0.29,2.96,2.51,21.69,37.08,38.03,27.37,40.0,41.0,36.0,37.75
Charles Bassey,,2024-25,0,1610612759,SAS,24.0,34,1,10.68,2.0,3.41,0.59,0.0,0.0,0.0,0.62,0.97,0.64,1.65,2.79,4.44,0.5,0.41,0.85,0.68,1.38,4.62,14.0,14.11,14.22,28.0,18.0,0.0,15.5
Nicolas Batum,,2024-25,0,1610612746,LAC,36.0,59,2,17.03,1.1,2.86,0.38,0.92,2.41,0.38,0.22,0.27,0.81,0.63,2.1,2.73,1.19,0.64,0.39,0.39,1.42,3.34,12.0,10.6,19.28,31.0,70.0,12.0,10.62
Bradley Beal,,2024-25,0,1610612756,PHX,31.0,43,28,32.58,6.74,13.44,0.5,1.98,4.88,0.4,2.16,2.65,0.82,0.77,2.84,3.6,3.58,1.07,0.58,2.05,2.6,17.63,32.44,31.41,37.02,36.0,38.0,14.5,36.43
Malik Beasley,,2024-25,0,1610612765,DET,28.0,62,13,27.44,5.79,13.11,0.44,3.98,9.45,0.42,1.08,1.63,0.66,0.58,2.23,2.81,1.73,0.95,0.05,1.02,1.52,16.65,26.77,25.04,20.27,46.0,61.0,20.5,27.92
Goga Bitadze,,2024-25,0,1610612753,ORL,25.0,52,41,22.71,3.38,5.46,0.62,0.04,0.42,0.09,1.25,1.98,0.63,2.58,4.96,7.54,2.08,0.75,1.62,1.21,2.19,8.06,27.4,24.75,17.6,40.0,41.0,10.67,19.17
Bogdan Bogdanović,,2024-25,0,1610612737,ATL,32.0,24,0,24.92,3.46,9.33,0.37,1.83,6.08,0.3,1.25,1.42,0.88,0.5,2.25,2.75,2.04,0.83,0.25,1.54,2.38,10.0,17.33,18.49,31.44,27.0,49.0,0.0,0.0
Bol Bol,,2024-25,0,1610612756,PHX,25.0,26,7,13.69,3.0,5.69,0.53,1.0,2.92,0.34,0.69,0.92,0.75,0.58,2.77,3.35,0.62,0.19,0.88,0.62,0.58,7.69,16.42,15.65,14.62,15.0,29.0,26.75,28.08
Devin Booker,,2024-25,0,1610612756,PHX,28.0,56,56,37.3,8.55,18.77,0.46,2.66,7.7,0.35,6.09,6.84,0.89,0.98,3.0,3.98,6.88,1.04,0.25,2.8,2.64,25.86,43.38,44.26,46.74,47.0,60.0,37.25,41.17
Brandon Boston Jr.,,2024-25,0,1610612740,NOP,23.0,42,10,23.64,3.95,9.07,0.44,1.17,3.33,0.35,1.6,2.02,0.79,0.67,2.52,3.19,2.19,1.26,0.21,1.24,1.74,10.67,21.24,21.0,8.99,41.0,33.0,0.0,0.0
Mikal Bridges,,2024-25,0,1610612752,NYK,28.0,61,61,37.72,7.2,14.74,0.49,2.2,6.26,0.35,0.79,1.08,0.73,0.89,2.26,3.15,3.38,0.93,0.57,1.46,1.44,17.38,31.95,31.96,33.06,30.0,81.0,26.0,28.27
Miles Bridges,,2024-25,0,1610612766,CHA,26.0,46,46,32.11,7.33,16.96,0.43,2.24,6.91,0.32,3.3,3.78,0.87,1.15,6.61,7.76,3.74,0.76,0.67,2.17,1.57,20.2,36.28,36.56,38.8,35.0,9.0,42.75,38.64
Malcolm Brogdon,,2024-25,0,1610612764,WAS,32.0,24,13,23.5,4.33,10.0,0.43,0.67,2.33,0.29,3.38,3.83,0.88,0.88,2.92,3.79,4.08,0.54,0.21,1.58,1.25,12.71,23.38,21.98,31.09,22.0,40.0,0.0,19.0
Dillon Brooks,,2024-25,0,1610612745,HOU,29.0,58,58,32.14,4.84,11.78,0.41,2.4,6.17,0.39,1.4,1.69,0.83,1.17,2.74,3.91,1.62,0.81,0.22,1.02,3.4,13.48,22.76,22.87,20.89,38.0,63.0,14.0,23.25
