Player_Name,PosPLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,,2024-25,00,1610612752,NYK,25.0,46,8,20.67391304347826,2.717391304347826,5.282608695652174,0.514,0.1956521739130435,0.6956521739130435,0.281,0.6956521739130435,1.1521739130434783,0.604,1.934782608695652,3.717391304347826,5.6521739130434785,0.9565217391304348,0.8043478260869565,0.6956521739130435,0.7391304347826086,1.4565217391304348,6.326086956521739
Steven Adams,,2024-25,00,1610612745,HOU,31.0,50,2,12.82,1.42,2.72,0.522,0.0,0.02,0.0,0.68,1.58,0.43,2.68,2.6,5.28,1.2,0.36,0.44,0.94,0.94,3.52
Bam Adebayo,,2024-25,00,1610612748,MIA,27.0,67,67,34.46268656716418,6.8059701492537314,13.985074626865671,0.487,0.835820895522388,2.671641791044776,0.313,3.1791044776119404,4.164179104477612,0.763,2.4925373134328357,7.358208955223881,9.850746268656716,4.343283582089552,1.2686567164179106,0.7164179104477612,2.1492537313432836,2.1791044776119404,17.62686567164179
Ochai Agbaji,,2024-25,00,1610612761,TOR,24.0,56,40,26.928571428571427,4.035714285714286,7.982142857142857,0.506,1.5,3.767857142857143,0.398,0.5535714285714286,0.8035714285714286,0.689,0.8928571428571429,2.7857142857142856,3.6785714285714284,1.5,0.8214285714285714,0.5178571428571429,0.7857142857142857,1.9107142857142858,10.125
Santi Aldama,,2024-25,00,1610612763,MEM,24.0,54,13,25.037037037037038,4.981481481481482,10.185185185185185,0.489,1.8148148148148149,4.814814814814815,0.377,0.9444444444444444,1.3518518518518519,0.699,1.5740740740740742,5.074074074074074,6.648148148148148,2.7962962962962963,0.7777777777777778,0.5370370370370371,0.9814814814814815,1.0555555555555556,12.722222222222221
Trey Alexander,,2024-25,00,1610612743,DEN,21.0,20,0,4.25,0.35,1.3,0.269,0.1,0.5,0.2,0.15,0.2,0.75,0.0,0.45,0.45,0.4,0.05,0.05,0.15,0.4,0.95
Nickeil Alexander-Walker,,2024-25,00,1610612750,MIN,26.0,71,10,25.12676056338028,3.2816901408450705,7.450704225352113,0.44,1.732394366197183,4.450704225352113,0.389,1.0140845070422535,1.295774647887324,0.783,0.6056338028169014,2.591549295774648,3.1971830985915495,2.5211267605633805,0.6338028169014085,0.36619718309859156,1.2253521126760563,1.704225352112676,9.309859154929578
Grayson Allen,,2024-25,00,1610612756,PHX,29.0,53,3,24.849056603773583,3.4150943396226414,7.584905660377358,0.45,2.4339622641509435,5.60377358490566,0.434,1.4528301886792452,1.7924528301886793,0.811,0.5471698113207547,2.5660377358490565,3.1132075471698113,2.188679245283019,0.8867924528301887,0.3584905660377358,1.0754716981132075,1.528301886792453,10.716981132075471
Jarrett Allen,,2024-25,00,1610612739,CLE,26.0,69,69,28.71014492753623,5.521739130434782,7.869565217391305,0.702,0.0,0.043478260869565216,0.0,2.5072463768115942,3.420289855072464,0.733,2.652173913043478,7.463768115942029,10.115942028985508,1.9420289855072463,0.9710144927536232,0.9420289855072463,1.1594202898550725,1.5797101449275361,13.55072463768116
Jose Alvarado,,2024-25,00,1610612740,NOP,26.0,46,13,23.91304347826087,3.369565217391304,8.391304347826088,0.402,1.9782608695652173,5.260869565217392,0.376,0.8695652173913043,1.0869565217391304,0.8,0.43478260869565216,1.891304347826087,2.3260869565217392,4.608695652173913,1.326086956521739,0.2391304347826087,1.1521739130434783,1.6956521739130435,9.58695652173913
Kyle Anderson,,2024-25,00,1610612744,GSW,31.0,36,3,15.027777777777779,2.111111111111111,4.694444444444445,0.45,0.5277777777777778,1.4444444444444444,0.365,0.5,0.75,0.667,0.75,2.3055555555555554,3.0555555555555554,2.25,0.7222222222222222,0.5555555555555556,0.5555555555555556,1.1111111111111112,5.25
Giannis Antetokounmpo,,2024-25,00,1610612749,MIL,30.0,57,57,33.91228070175438,11.912280701754385,19.87719298245614,0.599,0.14035087719298245,0.7894736842105263,0.178,6.228070175438597,10.298245614035087,0.605,2.280701754385965,9.666666666666666,11.947368421052632,6.0,0.8421052631578947,1.2456140350877194,3.245614035087719,2.43859649122807,30.19298245614035
Cole Anthony,,2024-25,00,1610612753,ORL,24.0,61,22,18.60655737704918,3.5245901639344264,8.327868852459016,0.423,1.1147540983606556,3.19672131147541,0.349,1.4262295081967213,1.7377049180327868,0.821,0.7049180327868853,2.3442622950819674,3.0491803278688523,2.8688524590163933,0.6885245901639344,0.4426229508196721,1.6229508196721312,2.3114754098360657,9.59016393442623
OG Anunoby,,2024-25,00,1610612752,NYK,27.0,63,63,36.698412698412696,6.126984126984127,13.317460317460318,0.46,2.2063492063492065,6.126984126984127,0.36,2.253968253968254,2.8095238095238093,0.802,1.3492063492063493,3.4761904761904763,4.825396825396825,2.142857142857143,1.4603174603174602,0.9047619047619048,1.3333333333333333,2.3492063492063493,16.714285714285715
Deni Avdija,,2024-25,00,1610612757,POR,24.0,64,46,29.171875,5.0625,10.828125,0.468,1.609375,4.46875,0.36,3.84375,4.953125,0.776,1.3125,5.5,6.8125,3.6875,0.90625,0.5,2.59375,2.34375,15.578125
Deandre Ayton,,2024-25,00,1610612757,POR,26.0,40,40,30.15,6.625,11.7,0.566,0.15,0.8,0.188,1.0,1.5,0.667,3.1,7.05,10.15,1.6,0.775,0.975,1.725,2.2,14.4
