Player,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,GP,FPPG
Kyle Kuzma,WAS,35.0,8.0,17.8,2.5,7.5,2.7,3.7,0.9,6.4,7.2,3.7,0.6,0.5,3.0,21.2,64,33.9
Kyle Lowry,MIA,31.2,3.6,8.8,1.9,5.6,2.1,2.5,0.8,3.3,4.1,5.1,1.0,0.4,1.9,11.2,55,27.2
Kyrie Irving,TOT,37.53333333333333,9.9,19.933333333333334,3.1,8.133333333333333,4.2,4.6000000000000005,1.0333333333333334,4.1000000000000005,5.066666666666666,5.6000000000000005,1.1333333333333335,0.7333333333333334,2.1,27.066666666666666,120,49.16666666666667
LaMelo Ball,CHO,35.2,8.2,20.0,4.0,10.6,2.8,3.4,1.2,5.3,6.4,8.4,1.3,0.3,3.6,23.3,36,45.5
Lamar Stevens,CLE,18.1,2.1,4.6,0.5,1.5,0.6,0.9,0.8,2.6,3.3,0.5,0.4,0.3,0.4,5.3,62,11.400000000000002
Landry Shamet,PHO,20.2,2.8,7.5,1.9,5.0,1.1,1.3,0.3,1.4,1.7,2.3,0.7,0.1,0.9,8.7,40,16.2
Larry Nance Jr.,NOP,21.2,2.9,4.7,0.2,0.6,0.8,1.2,1.6,3.8,5.4,1.8,0.9,0.6,0.6,6.8,65,21.5
Lauri Markkanen,UTA,34.4,8.7,17.3,3.0,7.7,5.3,6.0,2.0,6.7,8.6,1.9,0.6,0.6,1.9,25.6,66,41.39999999999999
LeBron James,LAL,35.5,11.1,22.2,2.2,6.9,4.6,5.9,1.2,7.1,8.3,6.8,0.9,0.6,3.2,28.9,55,51.3
Leandro Bolmaro,UTA,4.9,0.2,1.4,0.0,0.3,0.0,0.0,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.4,14,1.1
Lester Quinones,GSW,4.5,0.5,1.3,0.5,1.0,1.0,1.5,0.3,0.5,0.8,0.5,0.3,0.0,1.3,2.5,4,2.6
Lindell Wigginton,MIL,12.4,2.6,5.3,0.9,2.6,1.1,1.3,0.0,1.0,1.0,2.0,0.0,0.3,1.7,7.1,7,10.5
Lindy Waters III,OKC,13.0,1.7,4.3,1.4,4.0,0.4,0.5,0.4,1.4,1.8,0.7,0.3,0.3,0.2,5.2,41,10.8
Lonnie Walker IV,LAL,23.2,4.2,9.4,1.6,4.4,1.6,1.9,0.3,1.7,1.9,1.1,0.5,0.3,0.8,11.7,56,17.7
Louis King,PHI,29.0,8.0,13.0,4.0,8.0,0.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,20.0,1,34.0
Luguentz Dort,OKC,30.7,4.6,11.8,1.8,5.5,2.7,3.5,1.7,2.9,4.6,2.1,1.0,0.3,1.2,13.7,74,23.699999999999996
Luka Don?i?,DAL,36.2,10.9,22.0,2.8,8.2,7.8,10.5,0.8,7.8,8.6,8.0,1.4,0.5,3.6,32.4,66,57.3
Luka Garza,MIN,8.7,2.3,4.1,0.5,1.4,1.5,1.9,1.2,1.1,2.3,0.6,0.1,0.1,0.5,6.5,28,10.4
Luka �amani?,UTA,23.0,3.7,8.1,1.1,4.4,1.3,1.9,0.0,4.3,4.3,2.1,0.9,0.3,1.4,9.9,7,20.200000000000003
Luke Kennard,TOT,22.53333333333333,3.266666666666667,6.533333333333334,2.3666666666666667,4.7,0.6333333333333333,0.7000000000000001,0.3,2.466666666666667,2.733333333333333,1.6333333333333335,0.5,0.06666666666666667,0.7999999999999999,9.466666666666667,118,18.433333333333337
