Player,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS
Larry Nance Jr.,ATL,19,19.21,3.21,6.37,1.42,3.16,0.42,0.53,0.95,3.26,4.21,1.53,0.95,0.63,0.68,8.26
Andrew Nembhard,IND,31,28.45,4.1,8.68,0.81,2.42,1.9,2.52,0.55,2.84,3.39,5.19,1.19,0.1,1.74,10.9
Aaron Nesmith,IND,12,20.92,2.92,5.75,1.08,2.42,1.5,1.67,0.5,2.83,3.33,1.0,0.33,0.25,0.75,8.42
Tristen Newton,IND,5,1.6,0.2,1.2,0.0,0.6,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.6
Georges Niang,CLE,49,20.51,3.31,6.9,1.8,4.45,0.41,0.51,0.67,3.04,3.71,1.35,0.35,0.14,0.96,8.82
Daishen Nix,MIN,3,4.33,0.0,0.33,0.0,0.33,0.33,0.67,0.0,1.33,1.33,1.0,0.0,0.0,1.33,0.33
Zeke Nnaji,DEN,28,5.14,0.64,1.36,0.0,0.39,0.11,0.25,0.11,0.46,0.57,0.14,0.07,0.29,0.14,1.39
Jaylen Nowell,NOP,8,21.0,3.25,9.12,1.0,3.38,0.88,1.38,0.75,1.75,2.5,2.25,0.12,0.5,1.0,8.38
Jusuf Nurkić,PHX,25,23.68,2.96,6.52,0.76,2.36,1.92,2.76,1.84,7.32,9.16,1.88,0.92,0.64,2.28,8.6
Royce O'Neale,PHX,42,25.0,3.24,7.69,2.19,5.52,0.4,0.52,0.86,4.31,5.17,2.02,0.93,0.5,0.98,9.07
Josh Okogie,PHX,25,14.04,2.24,4.56,0.64,1.68,0.88,1.28,1.28,1.6,2.88,0.56,0.84,0.4,0.64,6.0
Onyeka Okongwu,ATL,42,24.83,4.62,8.26,0.43,1.57,2.02,2.74,2.83,4.95,7.79,1.98,0.88,0.83,0.98,11.69
Isaac Okoro,CLE,28,19.68,2.0,4.68,1.11,2.79,0.64,0.89,0.79,1.29,2.07,1.64,0.68,0.39,0.39,5.75
Quincy Olivari,LAL,2,5.0,0.5,2.5,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.5
Kelly Olynyk,TOR,22,15.32,2.32,4.55,0.77,1.59,1.45,1.86,0.86,2.45,3.32,2.32,0.68,0.36,1.5,6.86
Kelly Oubre Jr.,PHI,45,34.2,5.49,11.96,1.22,4.18,2.24,3.0,1.64,4.71,6.36,1.89,1.49,0.47,1.33,14.44
Chris Paul,SAS,46,29.11,3.15,7.54,1.74,4.8,1.48,1.54,0.48,3.67,4.15,8.17,1.33,0.22,1.54,9.52
Cameron Payne,NYK,43,14.35,2.53,5.98,1.47,3.72,0.67,0.74,0.26,1.21,1.47,2.47,0.6,0.26,0.65,7.21
Gary Payton II,GSW,37,13.62,2.19,4.03,0.27,1.22,0.54,0.76,0.97,2.14,3.11,1.3,0.65,0.3,0.73,5.19
Drew Peterson,BOS,13,9.0,0.85,1.85,0.54,1.38,0.46,0.54,0.38,1.62,2.0,0.62,0.15,0.15,0.38,2.69
Julian Phillips,CHI,48,13.06,1.54,3.52,0.6,1.9,0.6,0.85,0.88,1.12,2.0,0.42,0.42,0.23,0.42,4.29
Jalen Pickett,DEN,19,7.95,1.05,2.21,0.53,1.21,0.05,0.05,0.16,0.68,0.84,1.47,0.16,0.05,0.37,2.68
Scotty Pippen Jr.,MEM,49,21.35,3.57,7.69,0.96,2.78,1.45,2.18,0.82,2.59,3.41,4.65,1.22,0.35,1.82,9.55
Daeqwon Plowden,ATL,2,16.5,4.0,5.0,3.0,4.0,1.0,1.0,1.5,1.0,2.5,0.0,0.0,0.0,0.5,12.0
Mason Plumlee,PHX,47,17.43,1.53,2.68,0.0,0.04,0.96,1.51,1.66,4.62,6.28,1.83,0.45,0.79,0.85,4.02
Brandin Podziemski,GSW,35,24.09,3.34,7.8,1.29,3.89,0.91,1.14,0.97,3.49,4.46,3.29,0.97,0.2,1.06,8.89
Jordan Poole,WAS,41,31.02,6.66,15.95,3.61,9.17,3.73,4.32,0.46,2.61,3.07,4.78,1.49,0.49,3.37,20.66
Craig Porter Jr.,CLE,29,8.07,1.03,1.76,0.28,0.52,0.21,0.28,0.14,0.72,0.86,1.03,0.21,0.34,0.52,2.55
Kevin Porter Jr.,LAC,44,19.8,3.84,9.09,0.57,2.36,1.11,1.73,0.64,2.93,3.57,3.23,0.98,0.25,1.89,9.36
Michael Porter Jr.,DEN,49,33.14,6.82,13.31,2.49,6.2,1.86,2.53,1.59,4.82,6.41,2.16,0.61,0.47,1.31,17.98
Bobby Portis,MIL,41,24.66,5.46,11.73,1.27,3.49,1.2,1.46,1.71,6.22,7.93,1.98,0.68,0.51,1.22,13.39
Kristaps Porziņģis,BOS,25,28.4,6.36,13.36,2.56,6.16,3.96,4.76,1.68,5.4,7.08,2.08,0.76,1.6,0.92,19.24
Quinten Post,GSW,10,12.7,2.5,5.8,1.4,3.6,0.5,0.5,0.9,1.9,2.8,1.5,0.1,0.3,0.7,6.9
Micah Potter,UTA,19,17.89,1.37,3.37,0.95,2.63,0.16,0.16,1.05,2.84,3.89,0.79,0.26,0.47,0.63,3.84
Dwight Powell,DAL,33,7.61,0.42,0.55,0.03,0.03,0.61,0.91,0.67,1.12,1.79,0.7,0.36,0.45,0.21,1.48
Norman Powell,LAC,40,33.25,8.38,16.77,3.4,7.8,3.92,4.72,0.38,3.25,3.62,2.2,1.38,0.17,2.08,24.07
Taurean Prince,MIL,47,25.83,2.68,5.96,1.74,3.85,0.4,0.51,0.55,3.21,3.77,2.06,0.83,0.15,0.98,7.51
Payton Pritchard,BOS,49,27.55,4.82,10.33,3.16,7.59,1.02,1.2,1.33,2.24,3.57,3.39,0.9,0.18,0.98,13.82
Olivier-Maxence Prosper,DAL,39,9.77,1.23,3.03,0.23,1.0,0.9,1.44,0.85,1.51,2.36,0.69,0.38,0.13,0.31,3.59
Jakob Pöltl,TOR,44,31.23,6.32,10.34,0.0,0.05,1.73,2.64,3.5,6.8,10.3,2.86,1.16,1.32,1.98,14.36
Trevelin Queen,ORL,21,15.81,1.9,4.86,0.76,2.57,0.43,0.52,0.76,0.86,1.62,1.43,1.05,0.38,0.9,5.0
Neemias Queta,BOS,39,14.62,2.15,3.23,0.0,0.05,0.82,1.13,1.41,2.33,3.74,0.67,0.33,0.72,0.64,5.13
Immanuel Quickley,TOR,11,26.27,5.09,12.73,2.18,5.91,3.18,3.45,0.18,2.0,2.18,5.73,0.55,0.18,1.45,15.55
Lester Quinones,PHI,4,4.25,1.0,2.0,0.0,0.75,0.25,0.25,0.75,0.25,1.0,0.25,0.0,0.0,1.0,2.25
Julius Randle,MIN,48,32.58,6.58,14.02,1.48,4.6,4.21,5.19,2.12,5.04,7.17,4.46,0.73,0.23,2.83,18.85
Duop Reath,POR,24,5.46,0.75,2.0,0.42,1.38,0.25,0.33,0.38,0.54,0.92,0.25,0.0,0.08,0.17,2.17
Austin Reaves,LAL,42,34.76,6.12,13.64,2.6,7.0,3.57,4.24,0.79,3.48,4.26,6.1,1.12,0.14,2.4,18.4
Cam Reddish,LAL,31,18.06,1.19,2.77,0.42,1.45,0.52,0.84,0.48,1.52,2.0,0.71,1.0,0.32,0.39,3.32
Paul Reed,DET,27,10.07,1.67,3.04,0.19,0.63,0.78,0.93,0.74,1.59,2.33,1.0,1.07,0.52,0.48,4.3
Alex Reese,OKC,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Antonio Reeves,NOP,18,9.22,1.72,4.22,0.61,2.11,0.39,0.44,0.33,0.67,1.0,0.61,0.33,0.0,0.28,4.44
Naz Reid,MIN,48,25.27,4.98,10.29,2.12,5.08,1.4,1.77,0.9,4.15,5.04,1.75,0.75,0.79,1.21,13.48
Jared Rhoden,CHA,4,3.0,0.5,2.0,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.25,0.0,0.25,1.0
Nick Richards,CHA,21,20.95,3.05,5.43,0.0,0.05,2.81,4.14,2.43,5.1,7.52,1.33,0.33,1.24,1.57,8.9
Josh Richardson,MIA,8,18.62,1.38,4.75,0.75,2.75,0.5,0.5,0.75,0.75,1.5,1.5,1.0,0.12,1.0,4.0
Zaccharie Risacher,ATL,42,23.83,4.17,10.0,1.31,4.21,1.5,2.19,1.36,2.17,3.52,1.21,0.81,0.5,1.17,11.14
Liam Robbins,MIL,13,4.38,0.15,0.62,0.0,0.15,0.38,0.77,0.54,0.38,0.92,0.15,0.15,0.15,0.46,0.69
Duncan Robinson,MIA,45,24.53,3.93,9.33,2.56,6.73,0.76,0.84,0.29,2.16,2.44,2.69,0.56,0.11,1.09,11.18
Orlando Robinson,SAC,9,6.33,0.78,1.89,0.11,0.56,0.44,0.78,0.33,1.22,1.56,1.0,0.33,0.11,0.44,2.11
Jeremiah Robinson-Earl,NOP,40,18.2,2.2,4.92,0.7,2.3,0.62,0.72,1.77,3.08,4.85,1.27,0.7,0.15,0.72,5.72
David Roddy,ATL,27,12.81,1.63,3.44,0.59,1.59,0.67,0.81,0.41,2.19,2.59,1.11,0.44,0.3,0.74,4.52
Ryan Rollins,MIL,31,11.87,1.81,3.9,0.58,1.71,0.45,0.58,0.35,1.16,1.52,1.13,0.68,0.35,0.84,4.65
Terry Rozier,MIA,43,28.53,4.51,10.93,1.56,5.19,1.67,1.93,0.77,3.42,4.19,2.95,0.58,0.3,1.49,12.26
Rayan Rupert,POR,34,8.06,0.94,2.26,0.29,1.03,0.38,0.53,0.59,0.56,1.15,0.47,0.24,0.06,0.47,2.56
D'Angelo Russell,LAL,29,26.31,4.45,10.72,1.93,5.79,1.55,1.83,0.28,2.48,2.76,4.69,0.79,0.14,1.72,12.38
Matt Ryan,NYK,17,3.65,0.53,1.59,0.29,0.94,0.12,0.12,0.0,0.41,0.41,0.06,0.12,0.0,0.18,1.47
Domantas Sabonis,SAC,45,36.2,8.13,13.44,1.16,2.44,3.33,4.33,3.93,10.44,14.38,6.53,0.64,0.42,3.02,20.76
Tidjane Salaün,CHA,34,18.38,1.59,5.0,0.88,3.15,0.62,0.91,1.03,3.06,4.09,1.09,0.59,0.18,0.85,4.68
Adama Sanogo,CHI,4,5.5,1.0,1.75,0.0,0.0,0.0,0.0,1.25,0.25,1.5,0.25,0.0,0.0,0.25,2.0
Gui Santos,GSW,24,13.0,1.46,3.08,0.79,1.96,0.46,0.71,1.08,1.67,2.75,1.25,0.38,0.12,0.62,4.17
Alexandre Sarr,WAS,41,26.78,4.34,10.93,1.41,4.61,1.37,2.12,1.83,4.8,6.63,2.2,0.66,1.56,1.39,11.46
Marcus Sasser,DET,38,14.08,2.32,5.0,0.87,2.58,0.53,0.58,0.34,0.89,1.24,2.21,0.63,0.11,0.84,6.03
Baylor Scheierman,BOS,9,6.0,0.33,1.89,0.11,1.33,0.22,0.22,0.22,1.22,1.44,0.44,0.22,0.0,0.0,1.0
Dennis Schröder,BKN,23,33.57,6.39,14.13,2.52,6.52,3.13,3.52,0.17,2.78,2.96,6.61,1.13,0.17,2.57,18.43
Alperen Sengun,HOU,46,31.35,7.61,15.5,0.33,1.43,3.59,5.07,3.41,6.96,10.37,5.02,1.28,0.8,2.39,19.13
Brice Sensabaugh,UTA,37,18.16,3.57,7.73,1.84,4.73,0.89,0.95,0.59,2.03,2.62,1.27,0.57,0.08,1.46,9.86
Collin Sexton,UTA,45,29.11,6.6,13.8,1.93,4.67,3.58,4.0,1.07,1.87,2.93,4.2,0.69,0.09,2.56,18.71
Landry Shamet,NYK,18,10.67,1.17,2.83,0.5,1.67,0.06,0.22,0.22,0.56,0.78,0.44,0.44,0.11,0.39,2.89
Terrence Shannon Jr.,MIN,10,4.5,0.7,1.3,0.1,0.3,0.0,0.0,0.0,0.2,0.2,0.5,0.2,0.1,0.3,1.5
Day'Ron Sharpe,BKN,27,17.26,3.15,6.37,0.19,1.07,1.41,1.85,2.89,3.33,6.22,1.41,0.7,0.52,1.15,7.89
Shaedon Sharpe,POR,41,30.85,6.49,14.51,1.98,6.1,2.49,3.12,0.71,3.17,3.88,2.46,0.8,0.24,1.93,17.44
Jamal Shead,TOR,43,16.6,2.07,5.02,0.79,2.23,0.49,0.65,0.26,0.86,1.12,3.4,0.58,0.12,1.47,5.42
Ben Sheppard,IND,33,20.58,1.97,4.82,1.27,3.39,0.3,0.36,0.64,1.91,2.55,1.21,0.55,0.24,0.36,5.52
Reed Sheppard,HOU,33,11.39,1.24,3.94,0.67,2.36,0.15,0.18,0.3,0.97,1.27,1.15,0.58,0.33,0.58,3.3
Pascal Siakam,IND,47,33.11,7.96,14.98,1.77,4.26,2.83,3.79,1.81,5.55,7.36,3.49,0.89,0.43,1.32,20.51
Ben Simmons,BKN,32,25.19,2.84,5.16,0.0,0.0,0.56,0.81,0.91,4.31,5.22,6.97,0.78,0.5,2.75,6.25
Anfernee Simons,POR,45,32.02,6.47,15.24,2.93,7.96,2.36,2.62,0.31,2.47,2.78,4.8,0.82,0.11,2.07,18.22
K.J. Simpson,CHA,16,16.94,1.69,6.12,0.44,2.69,1.31,1.69,1.19,1.06,2.25,2.25,0.75,0.25,1.06,5.12
Jericho Sims,NYK,37,11.38,0.76,1.24,0.0,0.0,0.22,0.35,1.38,2.11,3.49,0.59,0.22,0.27,0.57,1.73
Marcus Smart,MEM,18,21.22,2.94,7.89,1.61,4.83,1.67,2.0,0.78,1.56,2.33,3.83,1.28,0.33,1.89,9.17
Dru Smith,MIA,14,19.14,2.21,4.36,1.14,2.14,0.64,0.86,0.86,1.71,2.57,1.64,1.5,0.43,1.21,6.21
Jalen Smith,CHI,45,15.36,2.96,6.33,1.18,3.44,1.24,1.49,1.49,4.09,5.58,0.84,0.27,0.78,0.62,8.33
Tyler Smith,MIL,13,3.31,0.92,1.38,0.38,0.77,0.08,0.15,0.15,0.77,0.92,0.08,0.0,0.23,0.23,2.31
Jabari Smith Jr.,HOU,33,30.94,4.12,9.48,1.7,4.79,1.97,2.27,1.79,4.73,6.52,1.0,0.36,0.97,0.91,11.91
Nick Smith Jr.,CHA,28,16.46,2.46,6.68,1.25,3.79,0.21,0.25,0.14,1.64,1.79,1.57,0.36,0.18,0.86,6.39
Jeremy Sochan,SAS,27,27.3,4.74,9.11,0.44,1.52,1.93,2.7,2.48,5.0,7.48,2.56,0.93,0.59,1.74,11.85
Cam Spencer,MEM,10,12.1,1.3,3.0,0.5,1.6,0.9,0.9,0.5,1.2,1.7,1.6,0.3,0.1,0.5,4.0
Pat Spencer,GSW,18,6.83,0.94,2.5,0.11,0.56,0.39,0.56,0.5,0.78,1.28,1.5,0.44,0.11,0.56,2.39
Jaden Springer,BOS,26,5.42,0.46,1.31,0.23,0.73,0.58,0.81,0.15,0.77,0.92,0.38,0.46,0.04,0.15,1.73
Isaiah Stewart,DET,44,20.25,2.23,4.25,0.18,0.75,0.77,0.93,1.95,3.82,5.77,1.73,0.41,1.27,0.89,5.41
Julian Strawther,DEN,49,21.73,3.27,7.51,1.55,4.16,1.18,1.41,0.27,1.84,2.1,1.31,0.65,0.29,0.8,9.27
Max Strus,CLE,21,24.19,2.9,6.86,2.05,5.43,0.24,0.33,0.81,3.33,4.14,3.1,0.62,0.38,1.0,8.1
Jalen Suggs,ORL,35,28.63,5.63,13.74,2.17,6.91,2.77,3.14,0.66,3.37,4.03,3.69,1.46,0.94,2.91,16.2
Cole Swider,DET,2,6.5,0.0,2.5,0.0,2.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
Jae'Sean Tate,HOU,29,10.93,1.41,2.9,0.21,0.66,0.83,1.24,0.9,1.28,2.17,0.69,0.62,0.07,0.45,3.86
Jayson Tatum,BOS,47,36.51,9.04,19.85,3.57,10.04,5.19,6.49,0.6,8.26,8.85,5.66,1.23,0.49,2.87,26.85
Garrett Temple,TOR,17,3.88,0.18,0.88,0.06,0.41,0.24,0.24,0.12,0.47,0.59,0.65,0.35,0.12,0.24,0.65
Dalen Terry,CHI,47,12.72,1.38,3.06,0.4,1.15,0.62,0.89,0.57,0.91,1.49,1.21,0.47,0.23,0.74,3.79
Daniel Theis,NOP,38,16.34,1.61,3.39,0.24,0.97,0.82,0.97,1.16,3.16,4.32,1.58,0.47,0.53,0.66,4.26
Cam Thomas,BKN,19,32.32,7.95,17.74,2.84,7.58,5.95,6.79,0.53,3.05,3.58,3.37,0.74,0.05,2.68,24.68
Amen Thompson,HOU,45,31.0,5.22,9.58,0.31,1.29,2.89,4.09,2.69,5.4,8.09,2.87,1.38,1.18,1.89,13.64
Ausar Thompson,DET,27,19.93,3.41,6.7,0.26,1.19,1.0,1.7,1.52,3.26,4.78,1.59,1.48,0.48,1.3,8.07
Klay Thompson,DAL,43,27.19,4.81,11.67,3.0,7.7,0.84,0.93,0.63,2.79,3.42,2.02,0.84,0.44,1.44,13.47
Tristan Thompson,CLE,25,8.0,0.76,1.76,0.0,0.12,0.2,0.88,0.72,2.28,3.0,0.68,0.04,0.28,0.4,1.72
JT Thor,CLE,9,4.78,1.0,1.67,0.33,0.67,0.78,0.89,0.33,0.33,0.67,0.11,0.22,0.33,0.67,3.11
Xavier Tillman,BOS,26,7.31,0.38,1.54,0.15,0.85,0.04,0.08,0.31,1.08,1.38,0.27,0.31,0.19,0.35,0.96
Jacob Toppin,NYK,16,3.06,0.19,0.62,0.0,0.12,0.0,0.0,0.12,0.56,0.69,0.25,0.12,0.0,0.12,0.38
Obi Toppin,IND,44,19.07,3.86,7.11,1.16,3.3,1.11,1.41,0.7,3.32,4.02,1.57,0.68,0.36,0.66,10.0
Karl-Anthony Towns,NYK,44,34.55,8.75,16.36,1.98,4.66,4.84,5.75,3.07,10.5,13.57,3.39,0.98,0.8,2.55,24.32
Armel Traoré,LAL,8,7.62,0.62,2.25,0.0,0.88,0.25,0.88,0.12,1.62,1.75,0.12,0.5,0.25,0.25,1.5
Luke Travers,CLE,6,7.0,0.5,1.17,0.0,0.5,0.33,0.33,0.17,0.83,1.0,0.83,0.17,0.17,0.33,1.33
Gary Trent Jr.,MIL,42,24.69,3.33,7.79,2.19,5.21,0.74,0.81,0.17,2.14,2.31,1.02,0.98,0.05,0.6,9.6
Oscar Tshiebwe,UTA,3,15.33,1.33,2.0,0.0,0.0,2.0,2.67,1.67,5.0,6.67,0.0,1.33,0.0,0.33,4.67
Myles Turner,IND,44,31.18,5.55,11.55,2.09,5.23,2.39,3.16,1.32,5.5,6.82,1.57,0.84,1.86,1.95,15.57
Hunter Tyson,DEN,33,7.45,0.67,1.79,0.33,1.09,0.42,0.58,0.33,1.18,1.52,0.39,0.15,0.12,0.27,2.09
Jaylon Tyson,CLE,31,9.06,1.13,2.61,0.35,1.06,0.35,0.48,0.68,1.42,2.1,0.84,0.23,0.06,0.39,2.97
Stanley Umude,MIL,19,3.16,0.21,1.05,0.11,0.58,0.11,0.21,0.21,0.53,0.74,0.11,0.16,0.11,0.11,0.63
Jonas Valančiūnas,WAS,48,19.88,4.69,8.5,0.15,0.54,1.94,2.15,2.33,5.73,8.06,2.17,0.46,0.58,1.81,11.46
Fred VanVleet,HOU,45,35.47,5.04,13.04,2.67,7.76,1.87,2.27,0.67,3.22,3.89,5.8,1.6,0.44,1.56,14.62
Jarred Vanderbilt,LAL,4,13.75,1.25,3.25,0.0,0.75,0.0,0.0,2.5,2.75,5.25,1.5,2.25,0.0,0.5,2.5
Devin Vassell,SAS,31,30.0,6.1,14.0,2.32,6.45,1.71,2.26,0.68,2.97,3.65,3.03,1.1,0.55,1.61,16.23
Gabe Vincent,LAL,40,20.05,1.9,4.75,1.05,3.2,0.12,0.25,0.28,0.97,1.25,1.25,0.7,0.25,0.62,4.97
Tristan Vukcevic,WAS,9,4.67,1.0,2.33,0.22,1.22,0.44,0.56,0.44,0.44,0.89,0.44,0.0,0.11,0.33,2.67
Nikola Vučević,CHI,49,32.27,8.1,14.71,1.86,4.63,1.8,2.18,2.37,8.0,10.37,3.57,0.92,0.71,1.63,19.86
Dean Wade,CLE,35,22.83,2.09,5.11,1.49,4.26,0.37,0.71,1.0,4.09,5.09,1.57,0.86,0.46,0.31,6.03
Franz Wagner,ORL,30,32.97,8.83,19.23,2.03,6.53,5.37,6.13,0.9,4.6,5.5,5.2,1.47,0.47,2.37,25.07
Moritz Wagner,ORL,30,18.8,4.67,8.3,0.9,2.5,2.63,3.67,1.33,3.6,4.93,1.4,0.8,0.4,1.63,12.87
Jabari Walker,POR,36,10.33,1.33,2.94,0.19,0.94,0.44,0.72,0.81,2.08,2.89,0.44,0.53,0.14,0.56,3.31
Jarace Walker,IND,46,16.89,2.26,4.85,0.98,2.52,0.74,1.15,0.37,2.91,3.28,1.48,0.93,0.39,1.15,6.24
Cason Wallace,OKC,46,27.37,3.0,6.78,0.98,2.93,0.3,0.39,1.09,2.37,3.46,2.39,1.76,0.57,0.74,7.28
Keaton Wallace,ATL,21,17.76,2.33,5.43,1.0,2.86,0.43,0.43,0.24,1.38,1.62,2.29,1.05,0.29,1.19,6.1
Jordan Walsh,BOS,34,7.85,0.56,1.59,0.32,1.12,0.15,0.29,0.35,0.74,1.09,0.26,0.24,0.24,0.24,1.59
Ja'Kobe Walter,TOR,30,18.6,2.6,6.73,0.93,3.23,1.07,1.53,0.7,1.73,2.43,1.47,0.57,0.2,0.73,7.2
Kel'el Ware,MIA,32,17.72,3.44,6.19,0.75,1.84,0.75,1.03,1.12,3.91,5.03,0.62,0.56,1.03,0.72,8.38
P.J. Washington,DAL,42,32.93,5.19,11.83,1.62,4.26,2.43,3.24,1.64,6.71,8.36,2.33,1.21,1.0,1.9,14.43
TyTy Washington Jr.,PHX,4,7.0,0.75,1.5,0.5,0.75,0.0,0.0,0.0,0.25,0.25,1.0,0.5,0.0,0.25,2.0
Lindy Waters III,GSW,38,17.24,2.0,5.39,1.29,3.89,0.21,0.29,0.42,2.11,2.53,1.11,0.58,0.26,0.45,5.5
Trendon Watford,BKN,15,16.13,2.8,6.4,0.6,2.0,2.0,2.47,0.4,2.6,3.0,1.2,0.47,0.27,1.27,8.2
Peyton Watson,DEN,48,24.12,2.92,6.19,0.67,1.96,1.58,2.1,0.81,2.62,3.44,1.5,0.85,1.23,0.9,8.08
Jaylen Wells,MEM,49,26.29,4.08,9.18,1.92,5.02,1.51,1.8,1.08,2.12,3.2,1.76,0.59,0.12,0.96,11.59
Victor Wembanyama,SAS,40,33.15,8.97,18.85,3.25,9.07,3.38,3.98,1.73,9.18,10.9,3.65,1.1,3.98,3.4,24.57
Blake Wesley,SAS,30,9.37,1.23,2.7,0.13,0.7,0.5,0.7,0.2,0.57,0.77,1.9,0.47,0.1,0.9,3.1
Russell Westbrook,DEN,48,27.67,4.9,10.27,1.15,3.46,2.04,3.19,1.38,3.73,5.1,6.4,1.5,0.5,3.04,12.98
Coby White,CHI,43,32.63,6.26,14.37,3.02,8.26,2.88,3.26,0.35,3.02,3.37,4.6,0.98,0.19,2.49,18.42
Derrick White,BOS,47,33.74,5.51,12.55,3.32,8.81,1.74,2.09,0.94,3.28,4.21,4.21,0.87,1.17,1.6,16.09
Dariq Whitehead,BKN,8,7.0,1.5,3.12,1.38,2.62,0.12,0.38,0.12,0.5,0.62,0.12,0.38,0.12,0.38,4.5
Cam Whitmore,HOU,29,16.48,3.59,8.28,1.21,3.79,1.0,1.38,0.79,2.38,3.17,0.83,0.66,0.24,1.1,9.38
Aaron Wiggins,OKC,47,21.23,3.96,8.13,1.38,3.81,0.68,0.83,1.06,2.53,3.6,1.55,0.72,0.23,0.87,9.98
Andrew Wiggins,GSW,42,30.02,6.05,13.67,2.21,5.79,3.07,3.9,1.57,3.07,4.64,2.38,0.95,0.79,1.31,17.38
Alondes Williams,DET,1,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
Brandon Williams,DAL,17,7.06,0.94,2.35,0.29,0.88,0.59,0.76,0.12,0.65,0.76,1.12,0.18,0.0,0.59,2.76
Cody Williams,UTA,26,20.96,1.38,4.62,0.58,2.42,0.54,0.85,0.5,1.69,2.19,1.35,0.5,0.38,0.85,3.88
Grant Williams,CHA,16,29.94,3.38,7.69,1.69,4.62,1.94,2.31,1.12,4.0,5.12,2.31,1.12,0.81,1.75,10.38
Jalen Williams,OKC,45,32.8,8.16,17.18,1.73,5.0,3.09,3.96,0.82,4.76,5.58,5.16,1.8,0.76,2.27,21.13
Jaylin Williams,OKC,20,16.35,2.1,5.1,1.2,3.55,0.3,0.3,1.2,4.05,5.25,2.5,0.5,0.55,0.65,5.7
Kenrich Williams,OKC,36,14.14,2.28,4.44,0.83,2.19,0.42,0.47,0.83,2.5,3.33,0.94,0.61,0.14,0.56,5.81
Mark Williams,CHA,21,24.67,6.24,10.43,0.0,0.05,3.19,4.19,3.43,6.19,9.62,2.52,0.67,1.24,1.1,15.67
Nate Williams,HOU,6,3.5,1.17,1.5,0.33,0.67,0.0,0.0,0.0,0.5,0.5,0.17,0.33,0.17,0.17,2.67
Patrick Williams,CHI,40,26.65,3.35,8.82,1.65,4.62,1.07,1.35,0.72,3.4,4.12,2.15,0.78,0.62,1.38,9.43
Ziaire Williams,BKN,35,23.31,3.26,8.03,1.29,3.97,1.83,2.26,1.06,3.6,4.66,1.43,1.03,0.4,1.03,9.63
Robert Williams III,POR,17,17.29,2.41,3.71,0.06,0.18,0.88,1.0,1.76,3.94,5.71,1.0,0.65,1.71,0.88,5.76
Vince Williams Jr.,MEM,3,15.0,2.33,6.33,0.33,2.67,0.33,1.33,1.33,2.33,3.67,3.0,0.0,0.67,2.33,5.33
Zion Williamson,NOP,13,28.46,9.0,17.31,0.15,0.85,5.46,8.46,3.15,5.0,8.15,5.0,1.15,1.23,3.31,23.62
Jalen Wilson,BKN,48,27.75,3.27,8.35,1.4,4.52,1.67,1.98,1.04,2.46,3.5,1.92,0.54,0.04,1.17,9.6
James Wiseman,IND,1,5.0,2.0,4.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0
Delon Wright,MIL,25,15.32,0.88,3.12,0.48,1.84,0.32,0.56,0.6,1.12,1.72,1.8,0.84,0.32,0.56,2.56
Guerschon Yabusele,PHI,46,26.59,4.07,7.89,1.57,3.89,1.28,1.8,1.87,3.67,5.54,2.0,0.78,0.41,1.3,10.98
Cui Yongxi,BKN,5,2.0,0.2,1.4,0.0,0.6,0.2,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.6
Trae Young,ATL,45,35.98,7.0,17.47,2.91,8.58,5.89,6.87,0.51,2.78,3.29,11.51,1.29,0.22,4.62,22.8
Ivica Zubac,LAC,47,31.98,6.79,11.09,0.0,0.0,1.68,2.81,3.79,8.87,12.66,2.49,0.72,1.17,1.7,15.26
Tristan da Silva,ORL,46,26.2,3.26,7.76,1.28,3.87,0.85,1.0,1.28,2.8,4.09,1.74,0.5,0.24,0.93,8.65
Vlatko Čančar,DEN,4,8.5,1.0,1.75,0.25,0.5,0.0,0.0,0.75,1.25,2.0,0.0,0.0,0.25,0.5,2.25
Dario Šarić,DEN,13,14.77,1.38,4.15,0.46,1.85,0.54,0.77,1.0,2.62,3.62,1.69,0.54,0.08,1.08,3.77
