Player,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS
Ariel Hukporti,NYK,17,7.18,0.65,1.0,0.0,0.0,0.35,0.59,0.29,1.35,1.65,0.35,0.0,0.65,0.65,1.65
De'Andre Hunter,ATL,35,28.4,6.06,13.23,2.49,6.51,4.26,4.97,0.74,3.11,3.86,1.49,0.83,0.14,1.6,18.86
Bones Hyland,LAC,19,11.32,2.16,5.79,1.53,4.05,1.11,1.26,0.26,1.0,1.26,1.47,0.89,0.21,1.21,6.95
Oso Ighodaro,PHX,39,15.15,1.54,2.72,0.0,0.05,0.49,0.9,0.87,2.41,3.28,0.95,0.46,0.33,0.59,3.56
Joe Ingles,MIN,11,5.27,0.36,0.82,0.18,0.45,0.0,0.0,0.18,0.18,0.36,1.18,0.09,0.0,0.45,0.91
Brandon Ingram,NOP,18,33.06,8.61,18.5,2.39,6.39,2.61,3.06,0.94,4.61,5.56,5.17,0.89,0.61,3.83,22.22
Harrison Ingram,SAS,1,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kyrie Irving,DAL,39,35.95,8.9,18.56,2.95,7.1,3.51,3.9,1.08,3.56,4.64,4.85,1.23,0.33,2.31,24.26
Jonathan Isaac,ORL,44,16.68,2.23,5.34,0.66,2.57,1.14,1.7,1.86,3.0,4.86,0.48,0.8,1.3,0.43,6.25
Jaden Ivey,DET,30,29.93,6.33,13.77,2.1,5.13,2.83,3.87,1.33,2.8,4.13,3.97,0.93,0.37,2.97,17.6
GG Jackson,MEM,7,15.71,2.29,7.29,0.86,4.0,1.0,1.29,1.0,2.57,3.57,0.86,0.29,0.29,1.0,6.43
Isaiah Jackson,IND,5,16.8,2.8,4.6,0.0,0.0,1.4,2.8,2.2,3.4,5.6,1.0,0.6,1.6,1.0,7.0
Quenton Jackson,IND,18,14.11,2.17,4.22,0.5,1.33,0.83,1.17,0.56,0.94,1.5,1.72,0.5,0.28,0.61,5.67
Reggie Jackson,PHI,29,12.31,1.62,4.34,0.79,2.45,0.24,0.31,0.28,1.14,1.41,1.48,0.48,0.1,0.59,4.28
