Unnamed: 0,Rk,Player,Pos,Age,TEAM_ABBREVIATION,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,3P%,2P,2PA,2P%,eFG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FPPG
0,1,Precious Achiuwa,C,22,TOR,73,28,23.63013698630137,3.6301369863013697,8.26027397260274,0.439,0.7671232876712328,2.136986301369863,0.359,209,447,0.468,0.486,1.0684931506849316,1.7945205479452055,0.595,2.0,4.47945205479452,6.47945205479452,1.1232876712328768,0.5068493150684932,0.5616438356164384,1.1506849315068493,2.0684931506849313,9.095890410958905,12.7,0.503,0.259,0.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,0.4,2.1,2.5,0.07,-2.0,-0.6,-2.6,-0.2,18.835616438356162
1,2,Steven Adams,C,28,MEM,76,75,26.30263157894737,2.763157894736842,5.052631578947368,0.547,0.0,0.013157894736842105,0.0,210,383,0.548,0.547,1.4210526315789473,2.6184210526315788,0.543,4.592105263157895,5.407894736842105,10.0,3.3684210526315788,0.8552631578947368,0.7894736842105263,1.513157894736842,2.013157894736842,6.947368421052632,17.6,0.56,0.003,0.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,3.8,3.0,6.8,0.163,1.0,1.0,2.0,2.0,26.513157894736842
2,3,Bam Adebayo,C,24,MIA,56,56,32.589285714285715,7.25,13.017857142857142,0.557,0.0,0.10714285714285714,0.0,406,723,0.562,0.557,4.571428571428571,6.071428571428571,0.753,2.4464285714285716,7.625,10.071428571428571,3.392857142857143,1.4285714285714286,0.7857142857142857,2.642857142857143,3.0535714285714284,19.071428571428573,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,3.6,3.5,7.2,0.188,1.7,2.1,3.8,2.7,39.48214285714286
3,4,Santi Aldama,PF,21,MEM,32,0,11.25,1.65625,4.125,0.402,0.1875,1.5,0.125,47,84,0.56,0.424,0.625,1.0,0.625,1.03125,1.6875,2.71875,0.65625,0.1875,0.3125,0.5,1.125,4.125,10.2,0.452,0.364,0.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,-0.1,0.4,0.3,0.044,-4.2,-1.5,-5.7,-0.3,8.15625
4,5,LaMarcus Aldridge,C,36,BRK,47,12,22.340425531914892,5.361702127659575,9.74468085106383,0.55,0.2978723404255319,0.9787234042553191,0.304,238,412,0.578,0.566,1.8936170212765957,2.1702127659574466,0.873,1.553191489361702,3.9361702127659575,5.48936170212766,0.8936170212765957,0.2978723404255319,1.0,0.9361702127659575,1.6595744680851063,12.914893617021276,19.6,0.604,0.1,0.223,7.8,18.7,13.4,6.3,0.6,4.0,8.0,22.4,2.1,1.0,3.1,0.141,1.3,-0.6,0.7,0.7,24.51063829787234
5,6,Nickeil Alexander-Walker,SG,23,UTA,65,21,22.553846153846155,3.8923076923076922,10.461538461538462,0.372,1.6153846153846154,5.2,0.311,148,342,0.433,0.449,1.2461538461538462,1.676923076923077,0.743,0.5692307692307692,2.3076923076923075,2.876923076923077,2.4,0.7076923076923077,0.35384615384615387,1.4307692307692308,1.5846153846153845,10.646153846153846,10.5,0.475,0.497,0.16,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,-1.1,1.1,0.1,0.003,-1.8,-1.1,-2.9,-0.3,18.215384615384615
8,7,Grayson Allen,SG,26,MIL,66,61,27.348484848484848,3.8636363636363638,8.621212121212121,0.448,2.409090909090909,5.893939393939394,0.409,96,180,0.533,0.588,0.9696969696969697,1.121212121212121,0.865,0.48484848484848486,2.878787878787879,3.3636363636363638,1.5151515151515151,0.696969696969697,0.2727272727272727,0.6515151515151515,1.4545454545454546,11.106060606060606,12.7,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,2.8,1.4,4.2,0.11,0.6,-0.2,0.4,1.1,21.439393939393938
9,8,Jarrett Allen,C,23,CLE,56,56,32.30357142857143,6.589285714285714,9.732142857142858,0.677,0.017857142857142856,0.17857142857142858,0.1,368,535,0.688,0.678,2.9464285714285716,4.160714285714286,0.708,3.4285714285714284,7.321428571428571,10.75,1.6428571428571428,0.7857142857142857,1.3392857142857142,1.6785714285714286,1.7321428571428572,16.142857142857142,23.0,0.698,0.018,0.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,5.4,3.0,8.5,0.225,2.7,1.2,3.9,2.7,37.57142857142857
10,9,Jose Alvarado,PG,23,NOP,54,1,15.444444444444445,2.425925925925926,5.444444444444445,0.446,0.5925925925925926,2.037037037037037,0.291,99,184,0.538,0.5,0.6666666666666666,0.9814814814814815,0.679,0.46296296296296297,1.3888888888888888,1.8518518518518519,2.814814814814815,1.3148148148148149,0.12962962962962962,0.7407407407407407,1.3518518518518519,6.111111111111111,16.4,0.52,0.374,0.18,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,1.0,1.1,2.1,0.121,-0.5,2.4,1.9,0.8,17.574074074074076
11,10,Justin Anderson,SF,28,IND,16,6,19.75,2.25,5.9375,0.379,0.9375,3.6875,0.254,21,36,0.583,0.458,0.9375,1.1875,0.789,0.25,2.625,2.875,2.0625,0.5,0.375,0.5,1.375,6.375,10.4,0.493,0.621,0.2,1.4,15.0,8.1,14.2,1.2,1.7,7.2,15.1,0.2,0.2,0.4,0.054,-1.9,-1.3,-3.2,-0.1,15.125
14,11,Kyle Anderson,PF,28,MEM,69,11,21.507246376811594,3.028985507246377,6.797101449275362,0.446,0.5217391304347826,1.5797101449275361,0.33,173,360,0.481,0.484,0.9710144927536232,1.5217391304347827,0.638,1.0,4.333333333333333,5.333333333333333,2.652173913043478,1.1159420289855073,0.6521739130434783,1.0289855072463767,1.565217391304348,7.550724637681159,14.4,0.506,0.232,0.224,4.8,21.6,13.0,16.2,2.5,2.7,12.1,16.2,1.0,2.5,3.5,0.113,-0.9,2.1,1.2,1.2,22.434782608695652
15,12,Giannis Antetokounmpo,PF,27,MIL,67,67,32.8955223880597,10.283582089552239,18.582089552238806,0.553,1.0597014925373134,3.611940298507463,0.293,618,1003,0.616,0.582,8.253731343283581,11.432835820895523,0.722,2.0,9.611940298507463,11.611940298507463,5.791044776119403,1.0746268656716418,1.3582089552238805,3.2686567164179103,3.1641791044776117,29.880597014925375,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,9.2,3.7,12.9,0.281,7.6,3.5,11.2,7.4,56.134328358208954
16,13,Thanasis Antetokounmpo,SF,29,MIL,48,6,9.854166666666666,1.4583333333333333,2.6666666666666665,0.547,0.041666666666666664,0.2916666666666667,0.143,68,114,0.596,0.555,0.6041666666666666,0.9583333333333334,0.63,0.8333333333333334,1.2708333333333333,2.1041666666666665,0.4583333333333333,0.3333333333333333,0.25,0.5416666666666666,1.4166666666666667,3.5625,12.5,0.577,0.109,0.359,9.2,13.4,11.3,6.5,1.6,2.4,14.9,15.7,0.4,0.5,0.9,0.095,-3.5,-0.1,-3.5,-0.2,7.770833333333333
