Player,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,GP,FPPG
Anthony Edwards,MIN,35.1,9.1,19.7,2.4,6.7,5.4,6.4,0.7,4.8,5.4,5.1,1.3,0.5,3.1,25.9,79,42.4
Anthony Gill,WAS,9.3,1.5,3.2,0.2,0.8,0.6,0.7,0.7,1.1,1.9,0.7,0.3,0.2,0.5,3.8,50,7.999999999999999
Armoni Brooks,BRK,10.4,1.5,4.6,1.1,3.2,0.1,0.2,0.7,1.1,1.8,0.5,0.1,0.1,0.3,4.2,10,6.6
Ashton Hagans,POR,16.6,1.5,3.7,0.4,1.3,0.7,0.9,0.7,1.6,2.4,2.8,0.6,0.5,1.6,4.2,19,12.899999999999999
Ausar Thompson,DET,25.1,3.7,7.6,0.3,1.8,1.1,1.9,2.0,4.3,6.4,1.9,1.1,0.9,1.3,8.8,63,23.700000000000003
Austin Reaves,LAL,32.1,5.6,11.5,1.9,5.1,2.8,3.3,0.7,3.6,4.3,5.5,0.8,0.3,2.1,15.9,82,32.5
Ayo Dosunmu,CHI,29.1,4.7,9.5,1.6,3.9,1.1,1.4,0.7,2.1,2.8,3.2,0.9,0.5,1.4,12.2,76,25.4
Bam Adebayo,MIA,34.0,7.5,14.3,0.2,0.6,4.1,5.5,2.2,8.1,10.4,3.9,1.1,0.9,2.3,19.3,71,40.400000000000006
Ben Sheppard,IND,14.3,1.6,4.0,0.9,2.7,0.4,0.5,0.3,1.3,1.6,0.9,0.6,0.0,0.3,4.4,57,9.600000000000001
Ben Simmons,BRK,23.9,2.9,4.9,0.0,0.0,0.4,1.0,2.1,5.9,7.9,5.7,0.8,0.6,1.8,6.1,15,27.699999999999996
Bennedict Mathurin,IND,26.1,5.0,11.2,1.4,3.6,3.1,3.8,1.0,2.9,4.0,2.0,0.6,0.2,1.6,14.5,59,22.0
Bilal Coulibaly,WAS,27.2,3.0,6.9,1.0,2.9,1.5,2.1,0.9,3.2,4.1,1.7,0.9,0.8,1.4,8.4,63,19.4
Bismack Biyombo,TOT,17.0,1.5999999999999999,2.8333333333333335,0.0,0.0,0.6,1.2333333333333334,1.3333333333333333,3.1666666666666665,4.466666666666667,1.0666666666666667,0.2333333333333333,0.7666666666666666,0.9333333333333335,3.8000000000000003,80,12.266666666666666
Blake Wesley,SAS,14.4,1.7,3.5,0.2,0.9,0.9,1.3,0.3,1.2,1.5,2.7,0.5,0.1,0.9,4.4,61,11.600000000000001
Boban Marjanovi?,HOU,5.1,1.3,2.4,0.0,0.1,0.6,1.0,0.5,1.8,2.3,0.4,0.1,0.1,0.4,3.2,14,6.1000000000000005
Bobby Portis,MIL,24.5,5.7,11.2,1.2,3.0,1.2,1.5,1.7,5.7,7.4,1.3,0.8,0.4,1.1,13.8,82,27.5
Bogdan Bogdanovi?,ATL,30.4,6.0,13.9,3.0,8.1,1.9,2.1,0.7,2.8,3.4,3.1,1.2,0.3,1.4,16.9,79,30.599999999999998
Bojan Bogdanovi?,TOT,26.0,5.433333333333334,11.966666666666667,2.3333333333333335,5.900000000000001,2.066666666666667,2.6333333333333333,0.39999999999999997,2.3,2.6999999999999997,1.7000000000000002,0.5,0.06666666666666667,1.7999999999999998,15.266666666666666,114,20.700000000000003
Bol Bol,PHO,10.9,2.2,3.5,0.5,1.2,0.3,0.4,0.7,2.4,3.2,0.4,0.2,0.6,0.4,5.2,43,12.9
Bones Hyland,LAC,14.6,2.6,6.8,1.2,3.6,0.5,0.6,0.1,1.4,1.5,2.5,0.7,0.1,1.2,6.9,37,13.700000000000001
Bradley Beal,PHO,33.3,7.1,13.9,1.9,4.4,2.1,2.5,1.0,3.4,4.4,5.0,1.0,0.5,2.5,18.2,53,35.4
Brandin Podziemski,GSW,26.6,3.7,8.1,1.2,3.2,0.7,1.1,1.6,4.2,5.8,3.7,0.8,0.2,1.2,9.2,74,24.1
Brandon Boston Jr.,LAC,10.8,2.0,5.0,0.4,1.6,0.7,1.0,0.6,1.0,1.6,0.4,0.3,0.3,0.8,5.2,32,7.5
Brandon Clarke,MEM,22.3,5.5,9.8,0.2,1.0,0.2,1.2,2.2,3.2,5.3,1.5,0.8,1.0,0.5,11.3,6,26.2
Brandon Ingram,NOP,32.9,7.8,15.9,1.3,3.8,3.8,4.8,0.7,4.4,5.1,5.7,0.8,0.6,2.5,20.8,64,37.9
Brandon Miller,CHO,32.2,6.4,14.6,2.5,6.7,1.9,2.3,0.8,3.4,4.3,2.4,0.9,0.6,1.8,17.3,74,29.1
Brandon Williams,DAL,6.6,1.2,3.2,0.2,0.9,0.6,1.0,0.2,0.5,0.8,1.0,0.1,0.1,0.4,3.2,17,5.0
Braxton Key,DEN,3.0,0.4,0.9,0.1,0.3,0.3,0.4,0.2,0.8,0.9,0.5,0.1,0.1,0.1,1.1,20,3.5
Brice Sensabaugh,UTA,18.3,2.7,6.8,1.1,3.6,1.2,1.3,0.5,2.7,3.2,1.7,0.4,0.2,1.5,7.5,32,13.100000000000001
Brook Lopez,MIL,30.5,4.6,9.6,1.9,5.1,1.4,1.7,1.5,3.7,5.2,1.6,0.5,2.4,1.0,12.5,79,31.7
Bruce Brown,TOT,27.866666666666664,4.133333333333333,8.700000000000001,0.7999999999999999,2.466666666666667,1.7333333333333334,2.1333333333333333,0.8000000000000002,3.4333333333333336,4.233333333333333,2.8666666666666667,0.9,0.26666666666666666,1.2666666666666666,10.833333333333334,134,22.9
Bruno Fernando,ATL,15.2,2.4,4.2,0.0,0.1,1.4,2.1,1.3,3.0,4.3,1.0,0.6,0.6,1.0,6.3,45,15.3
Bryce McGowens,CHO,14.9,1.7,3.9,0.6,1.7,1.1,1.4,0.3,1.4,1.7,0.9,0.4,0.2,0.5,5.1,59,9.8
Buddy Boeheim,DET,8.4,0.9,2.9,0.8,2.5,0.8,1.0,0.3,0.7,1.0,0.3,0.0,0.1,0.0,3.4,10,4.9
Buddy Hield,TOT,25.733333333333334,4.4,10.133333333333333,2.6,6.766666666666667,0.6333333333333333,0.7000000000000001,0.7333333333333334,2.466666666666667,3.2000000000000006,2.8333333333333335,0.8000000000000002,0.4666666666666666,1.2333333333333334,12.1,168,24.766666666666673
CJ McCollum,NOP,32.7,7.3,16.0,3.6,8.4,1.7,2.1,0.6,3.7,4.3,4.6,0.9,0.6,1.7,20.0,66,37.9
Cade Cunningham,DET,33.5,8.5,18.8,1.9,5.4,3.8,4.4,0.5,3.8,4.3,7.5,0.9,0.4,3.4,22.7,62,39.9
Caleb Houstan,ORL,13.8,1.4,3.5,1.2,3.3,0.4,0.4,0.5,0.9,1.4,0.5,0.3,0.1,0.3,4.3,59,8.2
Caleb Martin,MIA,27.4,3.8,8.7,1.3,3.6,1.2,1.5,1.2,3.2,4.4,2.2,0.7,0.5,1.2,10.0,64,21.1
Cam Reddish,LAL,20.5,1.9,4.9,0.8,2.3,0.9,1.1,0.6,1.5,2.1,1.0,1.0,0.3,0.6,5.4,48,13.0
Cam Thomas,BRK,31.4,8.0,18.0,2.2,6.0,4.3,5.1,0.4,2.8,3.2,2.9,0.7,0.2,1.9,22.5,66,30.7
Cam Whitmore,HOU,18.7,4.5,9.9,1.7,4.7,1.6,2.4,0.9,2.9,3.8,0.7,0.6,0.4,1.0,12.3,47,19.5
Cameron Johnson,BRK,27.6,4.8,10.7,2.4,6.1,1.5,1.9,0.9,3.4,4.3,2.4,0.8,0.3,1.0,13.4,58,25.799999999999997
Cameron Payne,TOT,17.0,2.766666666666667,6.433333333333334,1.3666666666666665,3.533333333333333,0.7333333333333334,0.8333333333333334,0.3,1.2333333333333334,1.5333333333333332,2.6666666666666665,0.5333333333333333,0.16666666666666666,0.8666666666666667,7.633333333333334,156,15.933333333333334
Caris LeVert,CLE,28.8,5.1,12.1,1.6,4.9,2.3,3.0,0.6,3.5,4.1,5.1,1.1,0.5,1.7,14.0,68,30.3
Cason Wallace,OKC,20.6,2.6,5.4,1.2,2.9,0.4,0.5,0.6,1.6,2.3,1.5,0.9,0.5,0.5,6.8,82,17.599999999999998
Cedi Osman,SAS,17.6,2.6,5.3,1.2,3.1,0.5,0.7,0.3,2.2,2.5,1.7,0.5,0.2,0.7,6.8,72,15.0
Charles Bassey,SAS,10.8,1.5,2.1,0.0,0.1,0.3,0.3,1.2,2.8,4.0,1.1,0.4,0.9,0.8,3.3,19,14.0
Charlie Brown Jr.,NYK,4.6,0.3,1.3,0.3,0.9,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.3,0.3,0.8,8,1.2999999999999998
Chet Holmgren,OKC,29.4,6.2,11.6,1.6,4.3,2.7,3.4,1.6,6.3,7.9,2.4,0.6,2.3,1.6,16.5,82,39.3
Chimezie Metu,TOT,19.433333333333334,2.766666666666667,5.466666666666666,0.6,2.1,1.1666666666666667,1.3333333333333333,0.8666666666666667,3.3666666666666667,4.266666666666667,1.0999999999999999,1.0,0.3333333333333333,1.1666666666666667,7.333333333333333,102,17.3
Chris Boucher,TOR,14.1,2.2,4.3,0.6,1.9,1.4,1.8,1.2,2.9,4.1,0.5,0.3,0.5,0.6,6.4,50,13.8
Chris Duarte,SAC,12.2,1.4,3.6,0.7,2.2,0.4,0.6,0.4,1.4,1.8,0.7,0.5,0.1,0.4,3.9,59,8.4
Chris Livingston,MIL,4.3,0.5,1.0,0.0,0.2,0.1,0.2,0.1,0.9,1.0,0.2,0.1,0.0,0.2,1.2,21,2.5
Chris Paul,GSW,26.4,3.6,8.1,1.3,3.6,0.7,0.9,0.3,3.6,3.9,6.8,1.2,0.1,1.3,9.2,58,29.499999999999996
Christian Braun,DEN,20.2,2.7,5.9,0.8,2.0,1.1,1.6,1.0,2.8,3.7,1.6,0.5,0.4,0.7,7.3,82,16.2
Christian Wood,LAL,17.4,2.5,5.3,0.7,2.3,1.3,1.9,0.8,4.3,5.1,1.0,0.3,0.7,1.0,6.9,50,15.799999999999999
Chuma Okeke,ORL,9.2,0.9,2.4,0.5,1.7,0.1,0.1,0.4,1.3,1.7,0.4,0.2,0.1,0.3,2.3,47,5.3
Clint Capela,ATL,25.8,4.8,8.5,0.0,0.0,1.8,2.8,4.6,6.0,10.6,1.2,0.6,1.5,1.0,11.5,73,31.0
Coby White,CHI,36.5,6.8,15.3,2.6,7.0,2.8,3.3,0.6,4.0,4.5,5.1,0.7,0.2,2.1,19.1,79,33.6
Cody Martin,CHO,26.9,2.9,7.7,1.0,3.1,0.7,1.2,0.7,3.2,3.9,3.7,1.1,0.6,1.6,7.5,28,21.0
Cody Zeller,NOP,7.4,0.6,1.4,0.0,0.1,0.5,0.9,1.1,1.5,2.6,0.9,0.2,0.1,0.4,1.8,43,6.0
Colby Jones,SAC,6.4,0.9,2.4,0.1,0.7,0.2,0.4,0.6,0.8,1.3,0.7,0.2,0.2,0.3,2.1,30,5.1
Cole Anthony,ORL,22.4,4.1,9.4,1.1,3.4,2.2,2.7,0.8,3.0,3.8,2.9,0.8,0.5,1.6,11.6,81,22.6
Cole Swider,MIA,4.8,0.8,2.1,0.6,1.7,0.1,0.1,0.1,0.3,0.4,0.3,0.1,0.1,0.4,2.3,18,3.3999999999999995
Colin Castleton,LAL,3.7,0.6,1.0,0.0,0.0,0.4,0.4,0.4,0.4,0.8,0.2,0.1,0.0,0.2,1.5,16,2.9
Collin Gillespie,DEN,9.4,1.3,2.9,0.6,1.6,0.3,0.5,0.0,0.8,0.9,1.1,0.5,0.0,0.6,3.6,24,7.6
Collin Sexton,UTA,26.6,6.5,13.3,1.6,4.2,4.1,4.7,0.9,1.7,2.6,4.9,0.8,0.2,2.1,18.7,78,31.6
Corey Kispert,WAS,25.8,4.8,9.9,2.3,6.0,1.4,2.0,0.4,2.4,2.8,2.0,0.5,0.2,1.2,13.4,80,22.0
Cory Joseph,GSW,11.4,0.9,2.5,0.5,1.6,0.2,0.3,0.2,0.9,1.2,1.6,0.2,0.1,0.5,2.4,26,6.700000000000001
Craig Porter Jr.,CLE,12.7,2.3,4.5,0.2,0.7,0.8,1.1,0.4,1.7,2.1,2.3,0.4,0.3,0.9,5.6,51,13.299999999999997
D'Angelo Russell,LAL,32.7,6.5,14.2,3.0,7.2,2.1,2.5,0.4,2.7,3.1,6.3,0.9,0.5,2.1,18.0,76,36.5
D'Moi Hodge,LAL,5.9,0.7,2.1,0.4,1.7,0.1,0.3,0.0,0.0,0.0,0.7,0.1,0.1,0.1,2.0,7,3.5
D.J. Carton,TOR,9.0,0.8,2.0,0.3,1.0,1.0,1.3,0.5,0.5,1.0,0.8,0.3,0.0,0.3,2.8,4,5.6
D.J. Wilson,PHI,7.5,2.0,3.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,5.0,2,14.0
D?vis Bert?ns,TOT,14.200000000000001,1.9000000000000001,4.833333333333333,1.6333333333333335,4.2,0.7333333333333334,0.7999999999999999,0.19999999999999998,1.0999999999999999,1.3,0.7666666666666666,0.5333333333333333,0.26666666666666666,0.3666666666666667,6.133333333333333,86,11.966666666666667
DaQuan Jeffries,NYK,2.7,0.4,1.0,0.1,0.6,0.0,0.1,0.0,0.3,0.3,0.3,0.0,0.1,0.2,0.8,17,1.5
Daishen Nix,MIN,3.3,0.6,1.6,0.4,1.1,0.2,0.4,0.1,0.1,0.2,0.4,0.3,0.0,0.3,1.8,15,3.2
Dalano Banton,TOT,18.566666666666666,3.533333333333333,8.799999999999999,1.0333333333333334,3.5,1.6666666666666667,2.1,0.7666666666666666,2.433333333333333,3.1999999999999997,2.2666666666666666,0.5666666666666667,0.3666666666666667,1.3333333333333333,9.766666666666667,108,17.433333333333337
Dalen Terry,CHI,11.5,1.2,2.7,0.3,1.3,0.4,0.7,0.5,1.4,1.9,1.4,0.5,0.3,0.5,3.1,59,9.7
Damian Jones,CLE,6.9,1.1,1.8,0.1,0.4,0.5,0.5,0.5,1.1,1.6,0.4,0.2,0.3,0.3,2.7,39,7.000000000000001
Damian Lillard,MIL,35.3,7.4,17.5,3.0,8.5,6.5,7.0,0.5,3.9,4.4,7.0,1.0,0.2,2.6,24.3,73,42.10000000000001
Daniel Gafford,TOT,24.166666666666668,4.733333333333333,6.466666666666666,0.0,0.0,1.5666666666666667,2.3000000000000003,2.566666666666667,4.933333333333334,7.5,1.5666666666666667,0.8666666666666667,2.066666666666667,1.0,11.033333333333333,148,33.666666666666664
Daniel Theis,TOT,14.0,2.066666666666667,4.6000000000000005,0.26666666666666666,1.1333333333333333,0.39999999999999997,0.5333333333333333,0.9333333333333332,1.8,2.733333333333333,0.6666666666666666,0.26666666666666666,0.6,0.4666666666666666,4.866666666666666,120,11.133333333333333
Danilo Gallinari,TOT,12.95,1.675,3.7,0.7000000000000001,1.85,1.975,2.325,0.4,1.75,2.125,1.25,0.3,0.15,0.45,6.05,98,11.575
Danny Green,PHI,9.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,2,3.0
Dante Exum,DAL,19.8,2.9,5.5,1.0,2.0,1.0,1.2,0.5,2.3,2.7,2.9,0.4,0.1,0.9,7.8,55,17.599999999999998
Danuel House Jr.,PHI,15.0,1.4,3.1,0.4,1.5,1.0,1.4,0.5,1.2,1.7,0.8,0.4,0.1,0.6,4.2,34,8.0
Dario �ari?,GSW,17.2,2.8,6.1,1.2,3.1,1.2,1.5,1.1,3.3,4.4,2.3,0.5,0.2,1.2,8.0,64,17.8
Dariq Whitehead,BRK,12.0,0.5,2.5,0.0,1.5,0.5,1.0,0.0,2.0,2.0,1.5,0.0,0.5,0.0,1.5,2,6.5
Darius Bazley,TOT,14.633333333333333,1.6666666666666667,2.7999999999999994,0.16666666666666666,0.7333333333333334,0.9333333333333332,1.0999999999999999,0.7333333333333334,1.9000000000000001,2.6333333333333333,0.7666666666666666,0.5666666666666667,0.6666666666666666,0.7999999999999999,4.433333333333334,18,12.466666666666669
Darius Garland,CLE,33.4,6.6,14.8,2.3,6.2,2.6,3.1,0.5,2.1,2.7,6.5,1.3,0.1,3.1,18.0,57,33.3
David Duke Jr.,SAS,12.8,2.5,4.5,0.8,1.5,0.8,0.8,0.5,2.0,2.5,1.3,0.5,0.0,0.8,6.5,4,13.3
David Roddy,TOT,15.0,2.1,5.233333333333333,0.6,2.1,0.6,0.8333333333333334,0.6666666666666666,2.0,2.6666666666666665,1.0,0.3333333333333333,0.13333333333333333,0.7333333333333334,5.3999999999999995,130,9.799999999999999
Davion Mitchell,SAC,15.3,2.0,4.5,0.8,2.2,0.4,0.6,0.3,1.1,1.3,1.9,0.2,0.0,0.6,5.3,72,10.1
Day'Ron Sharpe,BRK,15.1,2.8,4.8,0.1,0.2,1.2,2.0,2.6,3.7,6.4,1.4,0.4,0.7,1.1,6.8,61,18.3
De'Aaron Fox,SAC,35.9,9.7,20.9,2.9,7.8,4.2,5.7,0.9,3.7,4.6,5.6,2.0,0.4,2.6,26.6,74,46.7
De'Andre Hunter,ATL,29.5,5.3,11.6,2.1,5.3,2.9,3.4,0.5,3.4,3.9,1.5,0.7,0.3,1.5,15.6,57,24.1
De'Anthony Melton,PHI,26.9,3.7,9.5,2.0,5.6,1.7,2.1,0.7,3.0,3.7,3.0,1.6,0.4,1.0,11.1,38,26.299999999999997
DeAndre Jordan,DEN,11.0,1.6,2.6,0.0,0.0,0.7,1.5,1.5,2.9,4.4,0.7,0.2,0.4,0.6,3.9,36,10.7
DeJon Jarreau,MEM,16.7,1.9,5.6,0.4,1.4,0.6,1.2,0.9,4.0,4.9,2.9,0.7,0.2,1.0,4.8,9,15.100000000000001
DeMar DeRozan,CHI,37.8,8.2,17.2,0.9,2.8,6.6,7.7,0.5,3.8,4.3,5.3,1.1,0.6,1.7,24.0,79,41.3
Dean Wade,CLE,20.5,1.8,4.3,1.5,3.7,0.4,0.5,0.7,3.4,4.0,0.8,0.7,0.5,0.4,5.4,54,15.700000000000001
Deandre Ayton,POR,32.4,7.8,13.6,0.0,0.2,1.2,1.4,3.2,7.9,11.1,1.6,1.0,0.8,1.8,16.7,55,36.4
Dejounte Murray,ATL,35.7,8.6,18.8,2.6,7.1,2.7,3.4,0.8,4.5,5.3,6.4,1.4,0.3,2.6,22.5,78,42.5
Delon Wright,TOT,16.666666666666668,1.6666666666666667,4.133333333333334,0.5666666666666668,1.5666666666666667,0.7999999999999999,1.0,0.4000000000000001,1.4333333333333333,1.8333333333333333,2.533333333333333,1.2,0.20000000000000004,0.26666666666666666,4.666666666666667,94,16.2
Deni Avdija,WAS,30.1,5.4,10.7,1.2,3.1,2.7,3.6,1.1,6.1,7.2,3.8,0.8,0.5,2.1,14.7,75,30.900000000000002
Dennis Schr�der,TOT,31.233333333333334,5.066666666666666,11.766666666666666,1.7666666666666666,4.666666666666667,2.1666666666666665,2.6,0.5,2.5666666666666664,3.0666666666666664,6.066666666666666,0.7666666666666666,0.2333333333333333,1.9666666666666668,14.1,160,29.066666666666663
Dennis Smith Jr.,BRK,18.9,2.6,6.0,0.6,1.9,0.8,1.0,0.9,2.0,2.9,3.6,1.2,0.2,1.2,6.6,56,19.5
Dereck Lively II,DAL,23.5,4.0,5.4,0.0,0.0,0.7,1.5,2.5,4.4,6.9,1.1,0.7,1.4,0.9,8.8,55,26.299999999999997
Dereon Seabron,NOP,9.2,0.7,2.2,0.2,0.3,0.8,1.0,0.2,1.0,1.2,0.8,0.3,0.2,0.0,2.3,6,6.3
Derrick Jones Jr.,DAL,23.5,3.1,6.5,1.1,3.1,1.3,1.8,1.1,2.2,3.3,1.0,0.7,0.7,0.9,8.6,76,18.0
Derrick Rose,MEM,16.6,3.2,6.9,0.6,1.7,1.0,1.1,0.3,1.6,1.9,3.3,0.3,0.1,1.3,8.0,24,15.5
Derrick White,BOS,32.6,5.3,11.5,2.7,6.8,1.9,2.1,0.7,3.5,4.2,5.2,1.0,1.2,1.5,15.2,73,37.2
Desmond Bane,MEM,34.4,8.6,18.5,3.3,8.6,3.3,3.8,0.9,3.5,4.4,5.5,1.0,0.5,2.7,23.7,42,41.2
Devin Booker,PHO,36.0,9.4,19.2,2.2,6.1,6.0,6.7,0.8,3.7,4.5,6.9,0.9,0.4,2.6,27.1,68,46.50000000000001
Devin Vassell,SAS,33.1,7.3,15.5,2.4,6.6,2.4,3.0,0.4,3.4,3.8,4.1,1.1,0.3,1.6,19.5,68,34.8
Devonte' Graham,SAS,13.6,1.7,4.7,1.1,3.6,0.6,0.7,0.2,1.3,1.6,2.1,0.4,0.1,0.7,5.0,23,11.1
Dexter Dennis,DAL,7.5,2.5,4.8,0.3,2.0,0.3,0.8,0.3,2.0,2.3,1.0,0.0,0.3,0.8,5.5,4,9.4
Dillon Brooks,HOU,30.9,4.6,10.7,1.8,5.1,1.7,2.0,0.7,2.7,3.4,1.7,0.9,0.1,1.2,12.7,72,21.1
Dmytro Skapintsev,NYK,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-0.5
Domantas Sabonis,SAC,35.7,7.7,13.0,0.4,1.1,3.6,5.1,3.6,10.1,13.7,8.2,0.9,0.6,3.3,19.4,82,50.199999999999996
Dominick Barlow,SAS,12.7,1.7,3.4,0.1,0.3,0.9,1.3,1.4,2.1,3.4,1.1,0.4,0.4,0.3,4.4,33,12.3
Donovan Mitchell,CLE,35.3,9.1,19.8,3.3,9.0,5.0,5.8,0.8,4.3,5.1,6.1,1.8,0.5,2.8,26.6,55,48.4
Donte DiVincenzo,NYK,29.1,5.5,12.4,3.5,8.7,1.1,1.4,0.8,2.9,3.7,2.7,1.3,0.4,1.4,15.5,81,30.400000000000002
Dorian Finney-Smith,BRK,28.4,3.2,7.5,1.7,4.9,0.5,0.7,1.6,3.1,4.7,1.6,0.8,0.6,0.9,8.5,68,20.6
Doug McDermott,TOT,13.533333333333333,1.8666666666666665,4.3,1.4000000000000001,3.5,0.16666666666666666,0.26666666666666666,0.16666666666666666,0.7333333333333334,0.8333333333333334,1.0,0.26666666666666666,0.0,0.3666666666666667,5.233333333333333,128,9.133333333333333
Draymond Green,GSW,27.1,3.4,6.8,0.9,2.3,1.0,1.3,1.4,5.9,7.2,6.0,1.0,0.9,2.5,8.6,55,31.0
Drew Eubanks,PHO,15.6,2.0,3.4,0.0,0.0,1.0,1.2,1.4,2.9,4.3,0.8,0.4,0.8,0.8,5.1,75,14.600000000000001
Drew Peterson,BOS,7.7,1.3,2.0,1.0,1.7,0.0,0.0,0.0,0.3,0.3,0.3,0.7,0.0,0.3,3.7,3,8.4
