Player,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,GP,FPPG
A.J. Green,MIL,11.0,1.5,3.5,1.2,3.0,0.3,0.3,0.2,1.0,1.1,0.5,0.2,0.1,0.2,4.5,56,8.1
A.J. Lawson,DAL,7.4,1.3,2.9,0.3,1.2,0.4,0.5,0.3,0.9,1.2,0.5,0.2,0.1,0.3,3.2,42,5.9
AJ Griffin,ATL,8.6,0.9,3.1,0.5,2.0,0.1,0.1,0.1,0.8,0.9,0.3,0.1,0.1,0.4,2.4,20,3.0999999999999996
Aaron Gordon,DEN,31.5,5.5,9.8,0.5,1.9,2.4,3.7,2.4,4.1,6.5,3.5,0.8,0.6,1.4,13.9,73,30.599999999999994
Aaron Holiday,HOU,16.3,2.4,5.3,1.1,2.8,0.7,0.8,0.3,1.3,1.6,1.8,0.5,0.1,0.7,6.6,78,13.299999999999999
Aaron Nesmith,IND,27.7,4.4,8.8,1.9,4.6,1.5,1.9,0.9,2.9,3.8,1.5,0.9,0.7,0.9,12.2,72,25.099999999999998
Aaron Wiggins,OKC,15.7,2.7,4.8,0.8,1.6,0.7,0.9,0.8,1.6,2.4,1.1,0.7,0.2,0.7,6.9,78,14.900000000000002
Adam Flagler,OKC,7.0,0.5,3.5,0.5,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,2,3.5
Adama Sanogo,CHI,7.3,1.6,3.0,0.0,0.0,0.9,1.3,2.1,1.9,4.0,0.0,0.1,0.0,0.6,4.0,9,7.0
Admiral Schofield,ORL,3.7,0.4,1.1,0.3,0.7,0.0,0.1,0.1,0.6,0.7,0.3,0.0,0.0,0.2,1.1,23,1.9
Al Horford,BOS,26.8,3.3,6.4,1.7,4.0,0.4,0.5,1.3,5.1,6.4,2.6,0.6,1.0,0.7,8.6,65,27.0
Alec Burks,TOT,17.633333333333333,3.0333333333333337,8.366666666666667,1.7666666666666666,4.766666666666667,2.0,2.3333333333333335,0.3666666666666667,1.8333333333333333,2.1999999999999997,1.2666666666666668,0.39999999999999997,0.16666666666666666,0.6999999999999998,9.833333333333334,132,14.566666666666668
Aleksej Pokusevski,TOT,13.233333333333334,1.5666666666666667,3.9,0.5666666666666667,1.8333333333333333,0.9666666666666668,1.3333333333333333,0.5333333333333333,2.3333333333333335,2.866666666666667,1.1666666666666667,0.4666666666666666,0.4333333333333333,0.6333333333333333,4.6000000000000005,56,11.566666666666668
Alex Caruso,CHI,28.7,3.6,7.6,1.9,4.7,1.0,1.4,0.9,3.0,3.8,3.5,1.7,1.0,1.4,10.1,71,30.0
Alex Fudge,TOT,7.733333333333333,1.2666666666666666,2.8333333333333335,0.2333333333333333,0.9333333333333332,0.26666666666666666,0.26666666666666666,0.7333333333333334,0.2333333333333333,0.9333333333333332,0.0,0.6666666666666666,0.0,0.3666666666666667,3.0,12,5.799999999999999
Alex Len,SAC,9.3,1.0,1.7,0.0,0.1,0.4,0.7,1.0,1.7,2.7,1.0,0.2,0.7,0.6,2.5,48,9.600000000000001
Alondes Williams,MIA,2.3,0.3,1.1,0.0,0.6,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.3,0.7,7,0.09999999999999987
Alperen Sengun,HOU,32.5,8.4,15.6,0.5,1.8,3.9,5.6,2.9,6.4,9.3,5.0,1.2,0.7,2.6,21.1,63,42.80000000000001
Amari Bailey,CHO,6.5,0.8,2.4,0.1,0.8,0.6,0.7,0.6,0.3,0.9,0.7,0.3,0.0,0.4,2.3,10,4.2
Amen Thompson,HOU,22.4,3.9,7.2,0.1,0.9,1.7,2.5,2.4,4.2,6.6,2.6,1.3,0.6,1.5,9.5,62,25.799999999999997
Amir Coffey,LAC,20.9,2.4,5.0,1.0,2.6,0.9,1.0,0.4,1.7,2.1,1.1,0.6,0.2,0.5,6.6,70,13.8
Andre Drummond,CHI,17.1,3.4,6.1,0.0,0.0,1.6,2.8,3.4,5.6,9.0,0.5,0.9,0.6,1.0,8.4,79,21.9
Andre Jackson Jr.,MIL,10.0,0.9,1.8,0.3,0.8,0.1,0.2,0.8,1.2,2.0,0.9,0.3,0.1,0.5,2.2,57,6.800000000000001
Andrew Funk,CHI,2.6,0.0,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,5,0.8
Andrew Nembhard,IND,25.0,3.8,7.7,0.9,2.5,0.7,0.8,0.5,1.5,2.1,4.1,0.9,0.1,1.5,9.2,68,21.2
Andrew Wiggins,GSW,27.0,5.0,11.0,1.3,3.6,2.0,2.7,1.5,3.0,4.5,1.7,0.6,0.6,1.2,13.2,71,23.1
Anfernee Simons,POR,34.4,7.8,18.2,3.4,8.8,3.5,3.9,0.5,3.2,3.6,5.5,0.5,0.1,2.7,22.6,46,34.6
Anthony Black,ORL,16.9,1.7,3.6,0.5,1.4,0.7,1.2,0.5,1.5,2.0,1.3,0.5,0.3,0.8,4.6,69,10.6
Anthony Davis,LAL,35.5,9.4,16.9,0.4,1.4,5.5,6.8,3.1,9.5,12.6,3.5,1.2,2.3,2.1,24.7,76,55.1
