Unnamed: 0,Rk,Player,Pos,Age,TEAM_ABBREVIATION,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,3P%,2P,2PA,2P%,eFG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FPPG
0,1,Precious Achiuwa,PF,21,MIA,61,4,12.081967213114755,2.0327868852459017,3.737704918032787,0.544,0.0,0.01639344262295082,0.0,124,227,0.546,0.544,0.9180327868852459,1.8032786885245902,0.509,1.1967213114754098,2.2131147540983607,3.4098360655737703,0.47540983606557374,0.32786885245901637,0.45901639344262296,0.7049180327868853,1.4918032786885247,4.983606557377049,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,0.3,1.0,1.3,0.085,-3.6,-0.5,-4.1,-0.4,10.524590163934427
1,2,Jaylen Adams,PG,24,MIL,7,0,2.5714285714285716,0.14285714285714285,1.1428571428571428,0.125,0.0,0.2857142857142857,0.0,1,6,0.167,0.125,0.0,0.0,,0.0,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,-6.5,0.125,0.25,0.0,0.0,16.9,8.8,12.7,0.0,0.0,0.0,18.6,-0.1,0.0,-0.1,-0.252,-15.1,-4.6,-19.8,-0.1,0.42857142857142855
2,3,Steven Adams,C,27,NOP,58,58,27.67241379310345,3.2586206896551726,5.310344827586207,0.614,0.0,0.05172413793103448,0.0,189,305,0.62,0.614,1.0344827586206897,2.3275862068965516,0.444,3.6724137931034484,5.189655172413793,8.862068965517242,1.9137931034482758,0.9310344827586207,0.6551724137931034,1.3448275862068966,1.9482758620689655,7.551724137931035,15.1,0.596,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,2.3,1.7,4.0,0.119,-0.4,0.1,-0.3,0.7,23.810344827586206
3,4,Bam Adebayo,C,23,MIA,64,64,33.484375,7.125,12.5,0.57,0.03125,0.125,0.25,454,792,0.573,0.571,4.421875,5.53125,0.799,2.21875,6.734375,8.953125,5.40625,1.171875,1.03125,2.640625,2.265625,18.703125,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,5.6,3.2,8.8,0.197,2.9,2.0,4.9,3.7,42.671875
4,5,LaMarcus Aldridge,C,35,BRK,26,23,25.923076923076923,5.384615384615385,11.384615384615385,0.473,1.1923076923076923,3.076923076923077,0.388,109,216,0.505,0.525,1.5769230769230769,1.8076923076923077,0.872,0.7307692307692307,3.8076923076923075,4.538461538461538,1.8846153846153846,0.4230769230769231,1.1153846153846154,1.0384615384615385,1.8076923076923077,13.538461538461538,15.7,0.556,0.27,0.159,3.0,15.8,9.4,11.0,0.8,3.7,7.9,22.2,0.5,0.6,1.1,0.08,-0.2,-0.2,-0.3,0.3,26.269230769230766
7,6,Ty-Shon Alexander,SG,22,PHO,15,0,3.1333333333333333,0.2,0.8,0.25,0.13333333333333333,0.6,0.222,1,3,0.333,0.333,0.06666666666666667,0.13333333333333333,0.5,0.13333333333333333,0.5333333333333333,0.6666666666666666,0.4,0.0,0.06666666666666667,0.2,0.13333333333333333,0.6,4.2,0.349,0.75,0.167,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,-0.1,0.0,0.0,-0.048,-4.8,-1.7,-6.5,-0.1,1.5999999999999999
8,7,Nickeil Alexander-Walker,SG,22,NOP,46,13,21.891304347826086,4.173913043478261,9.956521739130435,0.419,1.6521739130434783,4.760869565217392,0.347,116,239,0.485,0.502,1.0434782608695652,1.434782608695652,0.727,0.2826086956521739,2.847826086956522,3.130434782608696,2.217391304347826,1.0217391304347827,0.4782608695652174,1.5,1.9130434782608696,11.043478260869565,12.5,0.522,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3,1.0,0.7,0.035,-1.4,0.1,-1.3,0.2,21.26086956521739
9,8,Grayson Allen,SG,25,MEM,50,38,25.18,3.46,8.28,0.418,2.14,5.48,0.391,66,140,0.471,0.547,1.58,1.82,0.868,0.38,2.82,3.2,2.16,0.92,0.16,0.96,1.42,10.64,12.8,0.586,0.662,0.22,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,1.5,1.2,2.7,0.101,-0.2,0.1,-0.2,0.6,21.1
10,9,Jarrett Allen,C,22,CLE,63,45,29.58730158730159,4.73015873015873,7.650793650793651,0.618,0.09523809523809523,0.30158730158730157,0.316,292,463,0.631,0.624,3.238095238095238,4.603174603174603,0.703,3.111111111111111,6.904761904761905,10.015873015873016,1.6825396825396826,0.5079365079365079,1.4285714285714286,1.5873015873015872,1.5238095238095237,12.793650793650794,20.1,0.661,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,4.3,2.1,6.4,0.166,1.3,-0.2,1.1,1.4,31.28571428571429
13,10,Al-Farouq Aminu,PF,30,CHI,23,14,18.869565217391305,1.6521739130434783,4.304347826086956,0.384,0.34782608695652173,1.608695652173913,0.216,30,62,0.484,0.424,0.782608695652174,0.9565217391304348,0.818,0.9565217391304348,3.8260869565217392,4.782608695652174,1.3478260869565217,0.8260869565217391,0.391304347826087,1.2173913043478262,1.2608695652173914,4.434782608695652,8.9,0.469,0.374,0.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,-0.4,0.5,0.1,0.01,-4.9,1.1,-3.8,-0.2,13.521739130434783
16,11,Kyle Anderson,PF,27,MEM,69,69,27.347826086956523,4.463768115942029,9.53623188405797,0.468,1.3623188405797102,3.782608695652174,0.36,214,397,0.539,0.54,2.0869565217391304,2.6666666666666665,0.783,0.7536231884057971,4.9855072463768115,5.739130434782608,3.6231884057971016,1.2173913043478262,0.8260869565217391,1.2463768115942029,1.7391304347826086,12.376811594202898,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,2.9,2.7,5.6,0.143,1.4,1.9,3.3,2.5,31.217391304347828
17,12,Giannis Antetokounmpo,PF,26,MIL,61,61,33.0,10.262295081967213,18.0327868852459,0.569,1.098360655737705,3.622950819672131,0.303,559,879,0.636,0.6,6.524590163934426,9.524590163934427,0.685,1.5901639344262295,9.40983606557377,11.0,5.852459016393443,1.180327868852459,1.1967213114754098,3.3934426229508197,2.7540983606557377,28.147540983606557,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9.0,5.6,54.1639344262295
18,13,Kostas Antetokounmpo,PF,23,LAL,15,0,3.7333333333333334,0.2,0.6666666666666666,0.3,0.0,0.0,,3,10,0.3,0.3,0.4,0.8666666666666667,0.462,0.26666666666666666,1.0,1.2666666666666666,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.7333333333333333,0.5333333333333333,0.8,0.0,0.382,0.0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,-0.3,0.1,-0.2,-0.174,-13.3,0.8,-12.6,-0.1,1.6
19,14,Thanasis Antetokounmpo,SF,28,MIL,57,3,9.666666666666666,1.1754385964912282,2.4035087719298245,0.489,0.12280701754385964,0.5087719298245614,0.241,60,108,0.556,0.515,0.43859649122807015,0.8596491228070176,0.51,0.9473684210526315,1.2280701754385965,2.175438596491228,0.8070175438596491,0.38596491228070173,0.17543859649122806,0.7543859649122807,1.2982456140350878,2.912280701754386,10.3,0.523,0.212,0.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,0.0,0.6,0.7,0.057,-3.7,0.2,-3.5,-0.2,7.087719298245614
20,15,Carmelo Anthony,PF,36,POR,69,3,24.492753623188406,4.739130434782608,11.26086956521739,0.421,1.9275362318840579,4.7101449275362315,0.409,194,452,0.429,0.506,1.9855072463768115,2.2318840579710146,0.89,0.463768115942029,2.63768115942029,3.101449275362319,1.5072463768115942,0.6666666666666666,0.5507246376811594,0.8840579710144928,2.0869565217391304,13.391304347826088,14.6,0.547,0.418,0.198,2.0,11.8,6.8,9.2,1.3,2.0,6.7,23.1,1.7,0.8,2.6,0.073,0.2,-1.3,-1.1,0.4,22.507246376811594
21,16,Cole Anthony,PG,20,ORL,47,34,27.085106382978722,4.659574468085107,11.74468085106383,0.397,1.2340425531914894,3.6595744680851063,0.337,161,380,0.424,0.449,2.3191489361702127,2.7872340425531914,0.832,0.8085106382978723,3.893617021276596,4.702127659574468,4.085106382978723,0.6382978723404256,0.3829787234042553,2.25531914893617,2.0851063829787235,12.872340425531915,12.1,0.496,0.312,0.237,3.0,15.4,9.0,24.2,1.1,1.3,14.8,24.3,-0.9,0.9,0.0,-0.001,-1.9,-1.4,-3.3,-0.4,23.659574468085104
22,17,OG Anunoby,SF,23,TOR,43,43,33.325581395348834,5.790697674418604,12.069767441860465,0.48,2.4186046511627906,6.069767441860465,0.398,145,258,0.562,0.58,1.8604651162790697,2.372093023255814,0.784,1.255813953488372,4.255813953488372,5.511627906976744,2.186046511627907,1.5348837209302326,0.7441860465116279,1.744186046511628,2.6511627906976742,15.86046511627907,15.4,0.605,0.503,0.197,4.0,14.6,9.1,10.1,2.2,2.2,11.7,19.3,1.5,1.6,3.1,0.104,0.8,0.4,1.2,1.2,32.7906976744186
23,18,Ryan Arcidiacono,PG,26,CHI,44,0,10.227272727272727,1.1136363636363635,2.659090909090909,0.419,0.5681818181818182,1.5227272727272727,0.373,24,50,0.48,0.526,0.29545454545454547,0.45454545454545453,0.65,0.11363636363636363,1.4090909090909092,1.5227272727272727,1.2727272727272727,0.20454545454545456,0.0,0.22727272727272727,1.0681818181818181,3.090909090909091,9.8,0.541,0.573,0.171,1.2,15.1,8.3,16.3,1.0,0.0,7.4,13.1,0.5,0.4,0.9,0.093,-2.6,0.3,-2.3,0.0,7.5
24,19,Trevor Ariza,SF,35,MIA,30,27,28.033333333333335,3.3,8.033333333333333,0.411,1.6666666666666667,4.766666666666667,0.35,49,98,0.5,0.515,1.1333333333333333,1.4666666666666666,0.773,0.9,3.9,4.8,1.8333333333333333,1.0333333333333334,0.6,0.7,1.8333333333333333,9.4,11.9,0.542,0.593,0.183,3.7,15.6,9.8,9.4,1.8,2.2,7.5,15.1,0.5,1.0,1.6,0.091,-1.2,0.1,-1.1,0.2,22.9
25,20,D.J. Augustin,PG,33,HOU,57,12,19.80701754385965,2.3684210526315788,6.017543859649122,0.394,1.456140350877193,3.807017543859649,0.382,52,126,0.413,0.515,1.4912280701754386,1.6491228070175439,0.904,0.3508771929824561,1.2982456140350878,1.6491228070175439,3.2982456140350878,0.49122807017543857,0.017543859649122806,1.1403508771929824,0.9824561403508771,7.684210526315789,12.1,0.57,0.633,0.274,1.9,7.0,4.4,22.2,1.2,0.1,14.5,16.8,1.5,0.5,2.1,0.088,-0.6,-1.5,-2.1,0.0,15.701754385964913
28,21,Deni Avdija,SF,20,WAS,54,32,23.27777777777778,2.4074074074074074,5.777777777777778,0.417,0.9814814814814815,3.111111111111111,0.315,77,144,0.535,0.502,0.5370370370370371,0.8333333333333334,0.644,0.4074074074074074,4.444444444444445,4.851851851851852,1.1666666666666667,0.5925925925925926,0.2777777777777778,0.6111111111111112,2.5925925925925926,6.333333333333333,7.6,0.515,0.538,0.144,1.9,20.2,11.0,6.3,1.2,1.0,9.0,12.0,0.0,1.2,1.2,0.046,-3.6,0.4,-3.1,-0.4,15.5
29,22,Deandre Ayton,C,22,PHO,69,69,30.652173913043477,6.231884057971015,9.956521739130435,0.626,0.057971014492753624,0.2898550724637681,0.2,426,667,0.639,0.629,1.9275362318840579,2.5072463768115942,0.769,3.3043478260869565,7.231884057971015,10.53623188405797,1.434782608695652,0.5942028985507246,1.173913043478261,1.4927536231884058,2.8405797101449277,14.44927536231884,20.3,0.653,0.029,0.252,12.4,26.3,19.5,6.8,1.0,3.4,11.9,18.2,5.3,3.1,8.4,0.191,1.1,0.1,1.2,1.7,33.927536231884055
30,23,Udoka Azubuike,C,21,UTA,15,0,3.8,0.26666666666666666,0.6,0.444,0.0,0.0,,4,9,0.444,0.444,0.5333333333333333,0.6666666666666666,0.8,0.26666666666666666,0.6,0.8666666666666667,0.0,0.06666666666666667,0.26666666666666666,0.2,0.6,1.0666666666666667,10.3,0.597,0.0,1.111,7.8,16.0,12.1,0.0,0.9,5.7,18.3,12.4,0.0,0.1,0.1,0.119,-5.5,1.7,-3.8,0.0,2.666666666666667
31,24,Dwayne Bacon,SG,25,ORL,72,50,25.73611111111111,4.055555555555555,10.083333333333334,0.402,0.8194444444444444,2.875,0.285,233,519,0.449,0.443,2.013888888888889,2.4444444444444446,0.824,0.4305555555555556,2.6805555555555554,3.111111111111111,1.2916666666666667,0.625,0.06944444444444445,0.6388888888888888,1.4305555555555556,10.944444444444445,9.9,0.49,0.285,0.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,-0.3,0.9,0.5,0.013,-3.7,-1.4,-5.1,-1.5,16.555555555555554
32,25,Marvin Bagley III,PF,21,SAC,43,42,25.86046511627907,5.744186046511628,11.395348837209303,0.504,0.8604651162790697,2.511627906976744,0.343,210,382,0.55,0.542,1.7906976744186047,3.116279069767442,0.575,2.4651162790697674,4.930232558139535,7.395348837209302,1.0,0.4883720930232558,0.4883720930232558,1.372093023255814,2.3255813953488373,14.13953488372093,16.3,0.554,0.22,0.273,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,0.9,0.5,1.4,0.059,-0.4,-2.7,-3.1,-0.3,24.325581395348838
33,26,LaMelo Ball,PG,19,CHO,51,31,28.80392156862745,5.745098039215686,13.176470588235293,0.436,1.803921568627451,5.117647058823529,0.352,201,411,0.489,0.504,2.450980392156863,3.235294117647059,0.758,1.2352941176470589,4.686274509803922,5.921568627450981,6.137254901960785,1.588235294117647,0.35294117647058826,2.843137254901961,2.6666666666666665,15.745098039215685,17.5,0.539,0.388,0.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,1.0,1.9,2.8,0.093,1.1,0.7,1.8,1.4,35.35294117647059
34,27,Lonzo Ball,PG,23,NOP,55,55,31.763636363636362,5.2727272727272725,12.727272727272727,0.414,3.1272727272727274,8.272727272727273,0.378,118,245,0.482,0.537,0.9090909090909091,1.1636363636363636,0.781,0.6,4.181818181818182,4.781818181818182,5.745454545454545,1.490909090909091,0.5636363636363636,2.2363636363636363,1.8727272727272728,14.581818181818182,15.2,0.551,0.65,0.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,1.5,1.7,3.2,0.089,1.4,0.3,1.7,1.6,35.290909090909096
35,28,Mo Bamba,C,22,ORL,46,5,15.76086956521739,3.0869565217391304,6.543478260869565,0.472,0.8260869565217391,2.5652173913043477,0.322,104,183,0.568,0.535,0.9782608695652174,1.434782608695652,0.682,1.6521739130434783,4.108695652173913,5.760869565217392,0.7608695652173914,0.30434782608695654,1.2608695652173914,0.782608695652174,1.891304347826087,7.978260869565218,19.3,0.556,0.392,0.219,10.5,28.0,19.0,8.1,0.9,7.3,9.8,21.8,0.7,1.1,1.8,0.117,0.2,0.0,0.1,0.4,19.956521739130437
36,29,Desmond Bane,SG,22,MEM,68,17,22.33823529411765,3.4411764705882355,7.338235294117647,0.469,1.7205882352941178,3.985294117647059,0.432,117,228,0.513,0.586,0.5882352941176471,0.7205882352941176,0.816,0.45588235294117646,2.6323529411764706,3.088235294117647,1.7352941176470589,0.6029411764705882,0.23529411764705882,0.8676470588235294,1.838235294117647,9.191176470588236,12.2,0.6,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,1.6,1.3,2.9,0.093,-0.6,-0.2,-0.8,0.5,18.5
37,30,Harrison Barnes,PF,28,SAC,58,58,36.241379310344826,5.5,11.068965517241379,0.497,1.7241379310344827,4.413793103448276,0.391,219,386,0.567,0.575,3.3620689655172415,4.051724137931035,0.83,1.103448275862069,5.5344827586206895,6.637931034482759,3.4655172413793105,0.7413793103448276,0.1896551724137931,1.603448275862069,1.293103448275862,16.086206896551722,15.4,0.626,0.399,0.366,3.3,17.2,10.2,13.0,1.0,0.4,11.1,17.2,4.0,0.5,4.5,0.103,1.5,-1.3,0.2,1.1,31.137931034482754
38,31,RJ Barrett,SG,20,NYK,72,72,34.875,6.486111111111111,14.722222222222221,0.441,1.7222222222222223,4.291666666666667,0.401,343,751,0.457,0.499,2.861111111111111,3.8333333333333335,0.746,0.9444444444444444,4.805555555555555,5.75,3.013888888888889,0.7361111111111112,0.2777777777777778,1.9305555555555556,2.611111111111111,17.555555555555557,13.4,0.535,0.292,0.26,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,0.078,-0.9,-0.3,-1.2,0.5,28.52777777777778
39,32,Will Barton,SF,30,DEN,56,52,31.0,4.625,10.857142857142858,0.426,1.75,4.589285714285714,0.381,161,351,0.459,0.507,1.6964285714285714,2.1607142857142856,0.785,0.6964285714285714,3.3392857142857144,4.035714285714286,3.232142857142857,0.8928571428571429,0.4107142857142857,1.7142857142857142,1.6964285714285714,12.696428571428571,11.8,0.538,0.423,0.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19.0,0.7,1.5,2.2,0.061,-1.0,-0.8,-1.9,0.1,24.660714285714285
