Unnamed: 0,Rk,Player,Pos,Age,TEAM_ABBREVIATION,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,3P%,2P,2PA,2P%,eFG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FPPG
0,1,Álex Abrines,SG,23,OKC,68,6,15.514705882352942,1.9705882352941178,5.014705882352941,0.393,1.3823529411764706,3.6323529411764706,0.381,40,94,0.426,0.531,0.6470588235294118,0.7205882352941176,0.898,0.2647058823529412,1.0,1.2647058823529411,0.5882352941176471,0.5441176470588235,0.11764705882352941,0.4852941176470588,1.6764705882352942,5.970588235294118,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-1.3,-0.4,-1.6,0.1,10.323529411764707
1,2,Quincy Acy,PF,26,BRK,38,1,14.68421052631579,1.8421052631578947,4.473684210526316,0.412,0.9736842105263158,2.3684210526315788,0.411,33,80,0.413,0.521,1.1842105263157894,1.5789473684210527,0.75,0.5263157894736842,2.5,3.026315789473684,0.47368421052631576,0.3684210526315789,0.39473684210526316,0.5526315789473685,1.763157894736842,5.842105263157895,11.8,0.565,0.529,0.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8,0.5,0.5,0.9,0.082,-1.5,-0.6,-2.1,0.0,11.552631578947368
4,3,Steven Adams,C,23,OKC,80,80,29.8625,4.675,8.1875,0.571,0.0,0.0125,0.0,374,654,0.572,0.571,1.9625,3.2125,0.611,3.5125,4.15,7.6625,1.075,1.1125,0.975,1.825,2.4375,11.3125,16.5,0.589,0.002,0.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,3.3,3.1,6.5,0.13,-0.2,0.0,-0.2,1.1,25.737499999999997
5,4,Arron Afflalo,SG,31,SAC,61,45,25.901639344262296,3.0327868852459017,6.885245901639344,0.44,1.0163934426229508,2.4754098360655736,0.411,123,269,0.457,0.514,1.360655737704918,1.5245901639344261,0.892,0.14754098360655737,1.901639344262295,2.0491803278688523,1.278688524590164,0.3442622950819672,0.09836065573770492,0.6885245901639344,1.7049180327868851,8.442622950819672,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,0.043,-2.1,-1.5,-3.6,-0.7,13.475409836065573
6,5,Alexis Ajinça,C,28,NOP,39,15,14.974358974358974,2.282051282051282,4.564102564102564,0.5,0.0,0.10256410256410256,0.0,89,174,0.511,0.5,0.7435897435897436,1.0256410256410255,0.725,1.1794871794871795,3.358974358974359,4.538461538461538,0.3076923076923077,0.5128205128205128,0.5641025641025641,0.7948717948717948,1.9743589743589745,5.3076923076923075,12.9,0.529,0.022,0.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,0.08,-4.0,0.7,-3.3,-0.2,12.897435897435898
7,6,Cole Aldrich,C,28,MIN,62,0,8.564516129032258,0.7258064516129032,1.3870967741935485,0.523,0.0,0.0,,45,86,0.523,0.523,0.24193548387096775,0.3548387096774194,0.682,0.8225806451612904,1.7258064516129032,2.5483870967741935,0.4032258064516129,0.4032258064516129,0.3709677419354839,0.27419354838709675,1.3709677419354838,1.6935483870967742,12.7,0.549,0.0,0.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,0.116,-2.3,1.5,-0.8,0.2,7.548387096774194
8,7,LaMarcus Aldridge,PF,31,SAS,72,72,32.43055555555556,6.944444444444445,14.569444444444445,0.477,0.3194444444444444,0.7777777777777778,0.411,477,993,0.48,0.488,3.0555555555555554,3.763888888888889,0.812,2.388888888888889,4.875,7.263888888888889,1.9305555555555556,0.6388888888888888,1.2222222222222223,1.3611111111111112,2.1944444444444446,17.26388888888889,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1.0,3.0,7.7,24.5,3.5,3.7,7.2,0.149,0.7,0.1,0.8,1.7,32.04166666666667
9,8,Lavoy Allen,PF,27,IND,61,5,14.278688524590164,1.2622950819672132,2.7540983606557377,0.458,0.0,0.01639344262295082,0.0,77,167,0.461,0.458,0.3770491803278688,0.5409836065573771,0.697,1.721311475409836,1.8688524590163935,3.5901639344262297,0.9344262295081968,0.29508196721311475,0.39344262295081966,0.47540983606557374,1.278688524590164,2.901639344262295,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,0.9,0.8,1.7,0.093,-1.5,-0.2,-1.7,0.1,9.77049180327869
10,9,Tony Allen,SG,35,MEM,71,66,26.95774647887324,3.859154929577465,8.380281690140846,0.461,0.2112676056338028,0.7605633802816901,0.278,259,541,0.479,0.473,1.1267605633802817,1.8309859154929577,0.615,2.3380281690140845,3.1690140845070425,5.507042253521127,1.380281690140845,1.619718309859155,0.4084507042253521,1.408450704225352,2.507042253521127,9.056338028169014,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,0.077,-2.0,1.1,-1.0,0.5,21.464788732394368
11,10,Al-Farouq Aminu,PF,26,POR,61,25,29.065573770491802,3.0,7.639344262295082,0.393,1.1475409836065573,3.4754098360655736,0.33,113,254,0.445,0.468,1.5737704918032787,2.2295081967213113,0.706,1.2622950819672132,6.131147540983607,7.39344262295082,1.6229508196721312,0.9836065573770492,0.7213114754098361,1.540983606557377,1.6721311475409837,8.721311475409836,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,-0.1,2.0,1.9,0.051,-1.4,0.4,-1.1,0.4,21.950819672131146
12,11,Chris Andersen,C,38,CLE,12,0,9.5,0.75,1.8333333333333333,0.409,0.0,0.25,0.0,9,19,0.474,0.409,0.8333333333333334,1.1666666666666667,0.714,0.75,1.8333333333333333,2.5833333333333335,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.4166666666666667,1.6666666666666667,2.3333333333333335,11.6,0.497,0.136,0.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,0.1,0.2,0.2,0.102,-4.7,2.2,-2.5,0.0,8.25
13,12,Alan Anderson,SF,34,LAC,30,0,10.266666666666667,1.0,2.6666666666666665,0.375,0.4666666666666667,1.4666666666666666,0.318,16,36,0.444,0.463,0.4,0.5333333333333333,0.75,0.1,0.7,0.8,0.36666666666666664,0.1,0.0,0.23333333333333334,1.1666666666666667,2.8666666666666667,5.0,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7,0.0,0.1,0.1,0.02,-4.2,-1.9,-6.1,-0.3,4.0
14,13,Justin Anderson,SF,23,PHI,75,10,16.373333333333335,2.48,5.8533333333333335,0.424,0.7733333333333333,2.5866666666666664,0.299,128,245,0.522,0.49,1.36,1.72,0.791,0.92,2.3466666666666667,3.2666666666666666,0.88,0.5466666666666666,0.30666666666666664,0.88,1.4533333333333334,7.093333333333334,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,0.074,-0.9,-0.4,-1.3,0.2,13.293333333333333
17,14,Kyle Anderson,SF,23,SAS,72,14,14.166666666666666,1.2916666666666667,2.9027777777777777,0.445,0.20833333333333334,0.5555555555555556,0.375,78,169,0.462,0.481,0.625,0.7916666666666666,0.789,0.4583333333333333,2.4305555555555554,2.888888888888889,1.2638888888888888,0.7083333333333334,0.3611111111111111,0.5416666666666666,0.875,3.4166666666666665,12.5,0.525,0.191,0.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1,0.7,2.0,2.7,0.127,-1.4,3.2,1.8,1.0,11.75
18,15,Ryan Anderson,PF,28,HOU,72,72,29.38888888888889,4.486111111111111,10.73611111111111,0.418,2.8333333333333335,7.027777777777778,0.403,119,267,0.446,0.55,1.7916666666666667,2.0833333333333335,0.86,1.5555555555555556,3.0277777777777777,4.583333333333333,0.9444444444444444,0.4305555555555556,0.19444444444444445,0.7638888888888888,1.9722222222222223,13.597222222222221,13.5,0.583,0.655,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4.0,1.1,5.2,0.117,1.7,-2.0,-0.4,0.9,21.819444444444443
19,16,Giannis Antetokounmpo,SF,22,MIL,80,80,35.5625,8.2,15.7375,0.521,0.6125,2.25,0.272,607,1079,0.563,0.541,5.8875,7.65,0.77,1.775,6.975,8.75,5.425,1.6375,1.8875,2.925,3.075,22.9,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7,50.262499999999996
20,17,Carmelo Anthony,SF,32,NYK,74,74,34.2972972972973,8.135135135135135,18.77027027027027,0.433,2.0405405405405403,5.6891891891891895,0.359,451,968,0.466,0.488,4.108108108108108,4.9324324324324325,0.833,0.8378378378378378,5.081081081081081,5.918918918918919,2.8783783783783785,0.8108108108108109,0.4594594594594595,2.0675675675675675,2.675675675675676,22.41891891891892,17.9,0.535,0.303,0.263,2.6,16.0,9.3,14.5,1.2,1.1,9.0,29.1,3.2,1.5,4.7,0.089,2.3,-1.6,0.7,1.7,33.75675675675676
21,18,Joel Anthony,C,34,SAS,19,0,6.421052631578948,0.5263157894736842,0.8421052631578947,0.625,0.0,0.0,,10,16,0.625,0.625,0.2631578947368421,0.42105263157894735,0.625,0.42105263157894735,1.2105263157894737,1.631578947368421,0.15789473684210525,0.10526315789473684,0.3157894736842105,0.21052631578947367,0.5789473684210527,1.3157894736842106,11.6,0.64,0.0,0.5,7.6,20.9,14.4,3.4,0.8,4.0,17.0,8.7,0.1,0.2,0.4,0.141,-3.5,1.4,-2.1,0.0,4.578947368421053
22,19,Trevor Ariza,SF,31,HOU,80,80,34.6625,4.075,9.975,0.409,2.3875,6.9375,0.344,135,243,0.556,0.528,1.1625,1.575,0.738,0.675,5.05,5.725,2.1875,1.8375,0.25,0.9125,1.6625,11.7,12.3,0.548,0.695,0.158,2.1,15.9,9.0,8.8,2.5,0.6,7.9,14.1,2.8,3.2,6.0,0.104,-0.1,1.1,1.0,2.1,28.475
23,20,Darrell Arthur,PF,28,DEN,41,7,15.585365853658537,2.317073170731707,5.2439024390243905,0.442,1.2926829268292683,2.8536585365853657,0.453,42,98,0.429,0.565,0.4634146341463415,0.5365853658536586,0.864,0.6097560975609756,2.1219512195121952,2.731707317073171,1.024390243902439,0.4634146341463415,0.5121951219512195,0.8780487804878049,1.853658536585366,6.390243902439025,12.8,0.583,0.544,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,0.081,0.1,-0.2,-0.1,0.3,13.926829268292684
24,21,Ömer Aşık,C,30,NOP,31,19,15.548387096774194,1.0,2.096774193548387,0.477,0.0,0.0,,31,65,0.477,0.477,0.7419354838709677,1.2580645161290323,0.59,1.5483870967741935,3.7096774193548385,5.258064516129032,0.4838709677419355,0.16129032258064516,0.3225806451612903,0.45161290322580644,1.6451612903225807,2.7419354838709675,9.8,0.517,0.0,0.6,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8,0.4,0.6,1.0,0.1,-3.6,-0.1,-3.7,-0.2,9.387096774193548
