Unnamed: 0,Rk,Player,Pos,Age,TEAM_ABBREVIATION,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,3P%,2P,2PA,2P%,eFG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FPPG
0,1,Steven Adams,C,26,OKC,63,63,26.666666666666668,4.492063492063492,7.587301587301587,0.592,0.015873015873015872,0.047619047619047616,0.333,282,475,0.594,0.593,1.8571428571428572,3.1904761904761907,0.582,3.2857142857142856,5.968253968253968,9.253968253968255,2.3174603174603177,0.8095238095238095,1.0634920634920635,1.492063492063492,1.9365079365079365,10.857142857142858,20.5,0.604,0.006,0.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,29.333333333333332
1,2,Bam Adebayo,PF,22,MIA,72,72,33.56944444444444,6.111111111111111,10.972222222222221,0.557,0.027777777777777776,0.19444444444444445,0.143,438,776,0.564,0.558,3.6666666666666665,5.305555555555555,0.691,2.4444444444444446,7.763888888888889,10.208333333333334,5.111111111111111,1.1388888888888888,1.2916666666666667,2.8333333333333335,2.5277777777777777,15.916666666666666,20.3,0.598,0.018,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2.0,3.4,3.3,40.041666666666664
2,3,LaMarcus Aldridge,C,34,SAS,53,53,33.094339622641506,7.377358490566038,14.962264150943396,0.493,1.150943396226415,2.9622641509433962,0.389,330,636,0.519,0.532,2.981132075471698,3.6037735849056602,0.827,1.9433962264150944,5.452830188679245,7.39622641509434,2.4339622641509435,0.6792452830188679,1.6415094339622642,1.3962264150943395,2.4150943396226414,18.88679245283019,19.7,0.571,0.198,0.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,37.9622641509434
3,4,Kyle Alexander,C,23,MIA,2,0,6.5,0.5,1.0,0.5,0.0,0.0,,1,2,0.5,0.5,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0,4.7,0.5,0.0,0.0,17.9,8.3,12.9,0.0,0.0,0.0,33.3,10.2,0.0,0.0,0.0,-0.003,-6.4,-3.7,-10.1,0.0,1.5
4,5,Nickeil Alexander-Walker,SG,21,NOP,47,1,12.574468085106384,2.0851063829787235,5.659574468085107,0.368,0.9787234042553191,2.8297872340425534,0.346,52,133,0.391,0.455,0.5319148936170213,0.7872340425531915,0.676,0.19148936170212766,1.5957446808510638,1.7872340425531914,1.8936170212765957,0.3617021276595745,0.1702127659574468,1.148936170212766,1.2127659574468086,5.680851063829787,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4,10.319148936170212
5,6,Grayson Allen,SG,24,MEM,38,0,18.894736842105264,3.0789473684210527,6.605263157894737,0.466,1.5,3.710526315789474,0.404,60,110,0.545,0.58,1.0263157894736843,1.1842105263157894,0.867,0.21052631578947367,2.026315789473684,2.236842105263158,1.368421052631579,0.2631578947368421,0.05263157894736842,0.868421052631579,1.394736842105263,8.68421052631579,12.0,0.609,0.562,0.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,0.8,0.4,1.2,0.082,-0.1,-1.2,-1.3,0.1,14.078947368421051
6,7,Jarrett Allen,C,21,BRK,70,64,26.457142857142856,4.314285714285714,6.642857142857143,0.649,0.0,0.08571428571428572,0.0,302,459,0.658,0.649,2.442857142857143,3.857142857142857,0.633,3.085714285714286,6.5,9.585714285714285,1.5714285714285714,0.5714285714285714,1.3142857142857143,1.1,2.3142857142857145,11.071428571428571,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1.0,2.3,2.0,29.714285714285715
7,8,Kadeem Allen,PG,27,NYK,10,0,11.7,1.9,4.4,0.432,0.5,1.6,0.313,14,28,0.5,0.489,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,14.0,0.512,0.364,0.25,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,0.1,0.1,0.1,0.053,-0.3,-0.7,-0.9,0.0,10.799999999999999
8,9,Al-Farouq Aminu,PF,29,ORL,18,2,21.11111111111111,1.3888888888888888,4.777777777777778,0.291,0.5,2.0,0.25,16,50,0.32,0.343,1.0555555555555556,1.6111111111111112,0.655,1.3333333333333333,3.5,4.833333333333333,1.1666666666666667,1.0,0.4444444444444444,0.9444444444444444,1.5,4.333333333333333,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.014,-4.4,1.4,-3.0,-0.1,13.333333333333332
9,10,Justin Anderson,SG,26,BRK,10,1,10.7,1.0,3.8,0.263,0.6,2.9,0.207,4,9,0.444,0.342,0.2,0.4,0.5,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8,3.2,0.352,0.763,0.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,-0.2,0.1,-0.1,-0.054,-6.8,-1.0,-7.7,-0.2,6.7
