Player,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FPPG
Fred VanVleet,1627832,2024-25,0,1610612745,HOU,30.0,45,45,35.46666666666667,5.044444444444444,13.044444444444444,0.387,2.6666666666666665,7.7555555555555555,0.344,1.8666666666666667,2.2666666666666666,0.824,0.6666666666666666,3.2222222222222223,3.888888888888889,5.8,1.6,0.4444444444444444,1.5555555555555556,2.4444444444444446,14.622222222222222,34.48888888888889
Jarred Vanderbilt,1629020,2024-25,0,1610612747,LAL,25.0,4,0,13.75,1.25,3.25,0.385,0.0,0.75,0.0,0.0,0.0,0.0,2.5,2.75,5.25,1.5,2.25,0.0,0.5,2.25,2.5,18.0
Devin Vassell,1630170,2024-25,0,1610612759,SAS,24.0,31,20,30.0,6.096774193548387,14.0,0.435,2.3225806451612905,6.451612903225806,0.36,1.7096774193548387,2.2580645161290325,0.757,0.6774193548387096,2.967741935483871,3.645161290322581,3.032258064516129,1.096774193548387,0.5483870967741935,1.6129032258064515,1.6129032258064515,16.225806451612904,29.258064516129032
Gabe Vincent,1629216,2024-25,0,1610612747,LAL,28.0,40,5,20.05,1.9,4.75,0.4,1.05,3.2,0.328,0.125,0.25,0.5,0.275,0.975,1.25,1.25,0.7,0.25,0.625,2.1,4.975,11.25
Tristan Vukcevic,1641774,2024-25,0,1610612764,WAS,21.0,9,0,4.666666666666667,1.0,2.333333333333333,0.429,0.2222222222222222,1.2222222222222223,0.182,0.4444444444444444,0.5555555555555556,0.8,0.4444444444444444,0.4444444444444444,0.8888888888888888,0.4444444444444444,0.0,0.1111111111111111,0.3333333333333333,0.4444444444444444,2.6666666666666665,4.0
Nikola Vučević,202696,2024-25,0,1610612741,CHI,34.0,49,49,32.265306122448976,8.10204081632653,14.714285714285714,0.551,1.8571428571428568,4.63265306122449,0.401,1.7959183673469388,2.183673469387755,0.822,2.36734693877551,8.0,10.36734693877551,3.571428571428572,0.9183673469387756,0.7142857142857143,1.6326530612244898,2.3877551020408165,19.857142857142858,43.59183673469388
Dean Wade,1629731,2024-25,0,1610612739,CLE,28.0,35,26,22.82857142857143,2.085714285714286,5.114285714285714,0.408,1.4857142857142858,4.257142857142857,0.349,0.3714285714285714,0.7142857142857143,0.52,1.0,4.085714285714285,5.085714285714285,1.5714285714285714,0.8571428571428571,0.4571428571428571,0.3142857142857143,1.9428571428571428,6.0285714285714285,19.08571428571429
Franz Wagner,1630532,2024-25,0,1610612753,ORL,23.0,30,30,32.96666666666667,8.833333333333334,19.23333333333333,0.459,2.033333333333333,6.533333333333333,0.311,5.366666666666666,6.133333333333334,0.875,0.9,4.6,5.5,5.2,1.4666666666666666,0.4666666666666667,2.3666666666666667,2.4,25.066666666666663,43.666666666666664
Moritz Wagner,1629021,2024-25,0,1610612753,ORL,27.0,30,1,18.8,4.666666666666667,8.3,0.562,0.9,2.5,0.36,2.6333333333333333,3.6666666666666665,0.718,1.3333333333333333,3.6,4.933333333333334,1.4,0.8,0.4,1.6333333333333333,1.8333333333333333,12.866666666666667,23.03333333333333
Jabari Walker,1631133,2024-25,0,1610612757,POR,22.0,36,1,10.333333333333334,1.3333333333333333,2.9444444444444446,0.453,0.1944444444444444,0.9444444444444444,0.206,0.4444444444444444,0.7222222222222222,0.615,0.8055555555555556,2.083333333333333,2.888888888888889,0.4444444444444444,0.5277777777777778,0.1388888888888889,0.5555555555555556,1.25,3.305555555555556,8.277777777777777
Jarace Walker,1641716,2024-25,0,1610612754,IND,21.0,46,1,16.891304347826086,2.260869565217391,4.8478260869565215,0.466,0.9782608695652174,2.5217391304347827,0.388,0.7391304347826086,1.1521739130434785,0.642,0.3695652173913043,2.9130434782608696,3.282608695652174,1.4782608695652173,0.9347826086956522,0.391304347826087,1.1521739130434785,1.7173913043478262,6.239130434782608,15.717391304347824
Cason Wallace,1641717,2024-25,0,1610612760,OKC,21.0,46,32,27.369565217391305,3.0,6.782608695652174,0.442,0.9782608695652174,2.9347826086956523,0.333,0.3043478260869565,0.391304347826087,0.778,1.0869565217391304,2.369565217391304,3.4565217391304346,2.391304347826087,1.7608695652173914,0.5652173913043478,0.7391304347826086,2.239130434782609,7.282608695652174,23.45652173913043
Keaton Wallace,1630811,2024-25,0,1610612737,ATL,25.0,21,3,17.761904761904763,2.333333333333333,5.428571428571429,0.43,1.0,2.857142857142857,0.35,0.4285714285714285,0.4285714285714285,1.0,0.238095238095238,1.380952380952381,1.619047619047619,2.2857142857142856,1.0476190476190477,0.2857142857142857,1.1904761904761905,1.2857142857142858,6.095238095238095,15.476190476190473
Jordan Walsh,1641775,2024-25,0,1610612738,BOS,20.0,34,1,7.852941176470588,0.5588235294117647,1.588235294117647,0.352,0.3235294117647059,1.1176470588235294,0.289,0.1470588235294117,0.2941176470588235,0.5,0.3529411764705882,0.7352941176470589,1.088235294117647,0.2647058823529412,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.5294117647058824,1.588235294117647,4.323529411764706
Ja'Kobe Walter,1642266,2024-25,0,1610612761,TOR,20.0,30,7,18.6,2.6,6.733333333333333,0.386,0.9333333333333332,3.2333333333333334,0.289,1.0666666666666669,1.5333333333333334,0.696,0.7,1.7333333333333334,2.433333333333333,1.4666666666666666,0.5666666666666667,0.2,0.7333333333333333,1.8,7.2,13.1
Kel'el Ware,1642276,2024-25,0,1610612748,MIA,20.0,32,6,17.71875,3.4375,6.1875,0.556,0.75,1.84375,0.407,0.75,1.03125,0.727,1.125,3.90625,5.03125,0.625,0.5625,1.03125,0.71875,1.28125,8.375,20.75
P.J. Washington,1629023,2024-25,0,1610612742,DAL,26.0,42,41,32.92857142857143,5.190476190476191,11.833333333333334,0.439,1.619047619047619,4.261904761904762,0.38,2.4285714285714284,3.238095238095238,0.75,1.6428571428571428,6.714285714285714,8.357142857142858,2.333333333333333,1.2142857142857142,1.0,1.9047619047619049,2.452380952380953,14.428571428571429,31.857142857142854
TyTy Washington Jr.,1631102,2024-25,0,1610612756,PHX,23.0,4,0,7.0,0.75,1.5,0.5,0.5,0.75,0.667,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.5,0.0,0.25,0.0,2.0,6.25
